ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4912,4789,62,61
2,Andhra Pradesh,880712,869920,7092,3700
3,Arunachal Pradesh,16687,16477,56,154
4,Assam,215910,211486,1035,3389
5,Bihar,249403,242767,1379,5257
6,Chandigarh,19423,18754,315,354
7,Chhattisgarh,274324,257021,3275,14028
8,Dadra and Nagar Haveli and Daman and Diu,3372,3362,2,8
9,Delhi,622094,604746,10437,6911
10,Goa,50595,48913,731,951
11,Gujarat,240995,226208,4275,10512
12,Haryana,260545,253145,2865,4535
13,Himachal Pradesh,54280,49076,913,4291
14,Jammu and Kashmir,119877,114722,1867,3288
15,Jharkhand,114146,111530,1018,1598
16,Karnataka,915345,889881,12051,13413
17,Kerala,735611,668733,2951,63927
18,Ladakh,9394,9051,126,217
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,237406,223532,3545,10329
21,Maharashtra,1916236,1807824,49189,59223
22,Manipur,27976,26331,344,1301
23,Meghalaya,13371,12985,138,248
24,Mizoram,4182,4046,8,128
25,Nagaland,11897,11545,78,274
26,Odisha,328201,323749,1857,2595
27,Puducherry,37947,36962,630,355
28,Punjab,165126,155409,5281,4436
29,Rajasthan,304517,290365,2664,11488
30,Sikkim,5799,5157,125,517
31,Tamil Nadu,813161,792063,12059,9039
32,Telangana,284863,276753,1531,6579
33,Tripura,33237,32695,385,157
34,Uttarakhand,89218,82298,1476,5444
35,Uttar Pradesh,581080,556912,8293,15875
36,West Bengal,546008,522331,9569,14108
