ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5764,5562,66,136
2,Andhra Pradesh,1054875,947629,7800,99446
3,Arunachal Pradesh,17898,17021,58,819
4,Assam,243802,221299,1233,21270
5,Bihar,428001,331418,2307,94276
6,Chandigarh,40350,33924,446,5980
7,Chhattisgarh,682339,555489,7782,119068
8,Dadra and Nagar Haveli and Daman and Diu,6912,4883,4,2025
9,Delhi,1072065,958792,15009,98264
10,Goa,81908,64231,1086,16591
11,Gujarat,524725,390229,6656,127840
12,Haryana,447754,359699,3926,84129
13,Himachal Pradesh,91350,74812,1387,15151
14,Jammu and Kashmir,166054,141574,2197,22283
15,Jharkhand,213414,159916,2246,51252
16,Karnataka,1400775,1084050,14807,301918
17,Kerala,1460364,1207680,5170,247514
18,Ladakh,13642,11800,139,1703
19,Lakshadweep,2401,1198,1,1202
20,Madhya Pradesh,525407,425812,5319,94276
21,Maharashtra,4410085,3669548,66179,674358
22,Manipur,30742,29317,393,1032
23,Meghalaya,16271,14650,165,1456
24,Mizoram,5742,4743,13,986
25,Nagaland,13445,12472,99,874
26,Odisha,420129,371200,2007,46922
27,Puducherry,55047,46448,771,7828
28,Punjab,351282,290716,8630,51936
29,Rajasthan,546964,387976,3806,155182
30,Sikkim,7426,6302,142,982
31,Tamil Nadu,1113502,990919,13728,108855
32,Telangana,419966,345683,2150,72133
33,Tripura,34862,33549,396,917
34,Uttarakhand,162562,117221,2309,43032
35,Uttar Pradesh,1153097,834961,11678,306458
36,West Bengal,776345,664648,11082,100615
