ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,2474,1552,50
3,Arunachal Pradesh,1,1,0
4,Assam,107,41,2
5,Bihar,1391,494,9
6,Chandigarh,196,54,3
7,Chhattisgarh,93,59,0
8,Dadar Nagar Haveli,1,0,0
9,Delhi,10054,4485,168
10,Goa,38,7,0
11,Gujarat,11745,4804,694
12,Haryana,928,598,14
13,Himachal Pradesh,90,44,3
14,Jammu and Kashmir,1289,609,15
15,Jharkhand,223,113,3
16,Karnataka,1246,530,37
17,Kerala,630,497,4
18,Ladakh,43,41,0
19,Madhya Pradesh,5236,2435,252
20,Maharashtra,35058,8437,1249
21,Manipur,7,2,0
22,Meghalaya,13,11,1
23,Mizoram,1,1,0
24,Odisha,876,220,4
25,Puducherry,18,9,1
26,Punjab,1980,1547,37
27,Rajasthan,5507,3218,138
28,Tamil Nadu,11760,4406,81
29,Telengana,1597,1000,35
30,Tripura,167,85,0
31,Uttarakhand,93,52,1
32,Uttar Pradesh,4605,2783,118
33,West Bengal,2825,1006,244
