ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5000,4932,62,6
2,Andhra Pradesh,888350,880179,7159,1012
3,Arunachal Pradesh,16830,16767,56,7
4,Assam,217202,214423,1084,1695
5,Bihar,260095,257971,1515,609
6,Chandigarh,21088,20565,339,184
7,Chhattisgarh,307339,299284,3735,4320
8,Dadra and Nagar Haveli and Daman and Diu,3398,3395,2,1
9,Delhi,635916,623865,10877,1174
10,Goa,53838,52299,770,769
11,Gujarat,263200,256315,4394,2491
12,Haryana,268364,264429,3027,908
13,Himachal Pradesh,57851,56371,983,497
14,Jammu and Kashmir,124850,122275,1944,631
15,Jharkhand,118979,117474,1077,428
16,Karnataka,942031,923811,12233,5987
17,Kerala,962363,890720,3848,67795
18,Ladakh,9744,9542,130,72
19,Lakshadweep,151,65,0,86
20,Madhya Pradesh,256214,250320,3820,2074
21,Maharashtra,2041398,1953926,51280,36192
22,Manipur,29117,28636,372,109
23,Meghalaya,13845,13596,147,102
24,Mizoram,4382,4350,9,23
25,Nagaland,12148,11975,88,85
26,Odisha,335548,332842,1909,797
27,Puducherry,39270,38299,654,317
28,Punjab,174439,166643,5640,2156
29,Rajasthan,318118,313819,2772,1527
30,Sikkim,6108,5898,135,75
31,Tamil Nadu,841326,824527,12382,4417
32,Telangana,295581,292032,1610,1939
33,Tripura,33352,32950,391,11
34,Uttarakhand,96478,93877,1664,937
35,Uttar Pradesh,601272,588148,8686,4438
36,West Bengal,571178,556081,10202,4895
