ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4991,4904,62,25
2,Andhra Pradesh,886557,877893,7142,1522
3,Arunachal Pradesh,16816,16722,56,38
4,Assam,216940,213295,1077,2568
5,Bihar,258414,254023,1468,2923
6,Chandigarh,20639,20162,331,146
7,Chhattisgarh,295509,286277,3594,5638
8,Dadra and Nagar Haveli and Daman and Diu,3393,3381,2,10
9,Delhi,633276,620374,10782,2120
10,Goa,52712,51090,757,865
11,Gujarat,257813,247950,4372,5491
12,Haryana,266819,262140,3000,1679
13,Himachal Pradesh,57121,55595,970,556
14,Jammu and Kashmir,123764,120729,1924,1111
15,Jharkhand,118079,115989,1058,1032
16,Karnataka,934252,914492,12187,7573
17,Kerala,870529,796986,3545,69998
18,Ladakh,9673,9471,129,73
19,Lakshadweep,48,0,0,48
20,Madhya Pradesh,252767,244392,3776,4599
21,Maharashtra,2000878,1903408,50634,46836
22,Manipur,28938,28351,367,220
23,Meghalaya,13721,13446,146,129
24,Mizoram,4349,4276,9,64
25,Nagaland,12070,11875,88,107
26,Odisha,333866,330545,1903,1418
27,Puducherry,38772,37830,643,299
28,Punjab,171316,163438,5535,2343
29,Rajasthan,316081,309391,2756,3934
30,Sikkim,6062,5783,131,148
31,Tamil Nadu,833011,815516,12299,5196
32,Telangana,292835,287468,1586,3781
33,Tripura,33342,32911,391,40
34,Uttarakhand,95354,91852,1626,1876
35,Uttar Pradesh,597823,581509,8597,7717
36,West Bengal,566898,550244,10089,6565
