ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4083,3848,56,179
2,Andhra Pradesh,779146,735638,6406,37102
3,Arunachal Pradesh,13348,10315,30,3003
4,Assam,200391,171084,865,28442
5,Bihar,203457,191619,990,10848
6,Chandigarh,13582,12460,207,915
7,Chhattisgarh,158502,129883,1439,27180
8,Dadra and Nagar Haveli and Daman and Diu,3180,3119,2,59
9,Delhi,327718,298853,5981,22884
10,Goa,40400,36035,538,3827
11,Gujarat,158473,140282,3626,14565
12,Haryana,149081,137176,1640,10265
13,Himachal Pradesh,18797,15852,265,2680
14,Jammu and Kashmir,87364,77288,1372,8704
15,Jharkhand,95967,88559,832,6576
16,Karnataka,758574,637481,10427,110666
17,Kerala,334228,236989,1139,96100
18,Ladakh,5534,4535,66,933
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,159158,142707,2753,13698
21,Maharashtra,1586321,1358606,41965,185750
22,Manipur,15141,11443,111,3587
23,Meghalaya,8404,6034,75,2295
24,Mizoram,2253,2145,0,108
25,Nagaland,7698,6141,27,1530
26,Odisha,266345,244227,1121,20997
27,Puducherry,32978,27984,574,4420
28,Punjab,127154,116925,3999,6230
29,Rajasthan,171281,148291,1735,21255
30,Sikkim,3567,3233,59,275
31,Tamil Nadu,683486,632708,10586,40192
32,Telangana,222111,198790,1271,22050
33,Tripura,29468,26222,329,2917
34,Uttarakhand,57648,51186,924,5538
35,Uttar Pradesh,452660,411611,6629,34420
36,West Bengal,317053,277940,5992,33121
