ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,163,93,0,70
2,Andhra Pradesh,29168,15412,328,13428
3,Arunachal Pradesh,359,138,2,219
4,Assam,16071,10426,35,5610
5,Bihar,16642,11498,143,5001
6,Chandigarh,559,417,8,134
7,Chhattisgarh,4059,3153,19,887
8,Dadra and Nagar Haveli and Daman and Diu,479,245,0,234
9,Delhi,112494,89968,3371,19155
10,Goa,2453,1487,14,952
11,Gujarat,41820,29162,2045,10613
12,Haryana,21240,15983,301,4956
13,Himachal Pradesh,1213,929,11,273
14,Jammu and Kashmir,10513,5979,179,4355
15,Jharkhand,3756,2308,30,1418
16,Karnataka,38843,15409,684,22750
17,Kerala,7873,4095,31,3747
18,Ladakh,1086,928,1,157
19,Madhya Pradesh,17632,12876,653,4103
20,Maharashtra,254427,140325,10289,103813
21,Manipur,1609,896,0,713
22,Meghalaya,306,66,2,238
23,Mizoram,231,150,0,81
24,Nagaland,774,327,0,447
25,Odisha,13121,8750,64,4307
26,Puducherry,1418,739,18,661
27,Punjab,7821,5392,199,2230
28,Rajasthan,24392,18103,510,5779
29,Sikkim,153,81,0,72
30,Tamil Nadu,138470,89532,1966,46972
31,Telangana,34671,22482,356,11833
32,Tripura,2054,1421,2,631
33,Uttarakhand,3537,2786,47,704
34,Uttar Pradesh,36476,23334,934,12208
35,West Bengal,30013,18581,932,10500
