ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,33,0
2,Andhra Pradesh,2205,1192,48
3,Arunachal Pradesh,1,1,0
4,Assam,87,39,2
5,Bihar,994,411,7
6,Chandigarh,191,37,3
7,Chhattisgarh,60,56,0
8,Dadar Nagar Haveli,1,0,0
9,Delhi,8470,3045,115
10,Goa,14,7,0
11,Gujarat,9591,3753,586
12,Haryana,818,439,11
13,Himachal Pradesh,74,39,2
14,Jammu and Kashmir,983,485,11
15,Jharkhand,197,87,3
16,Karnataka,987,460,35
17,Kerala,560,491,4
18,Ladakh,43,22,0
19,Madhya Pradesh,4426,2171,237
20,Maharashtra,27524,6059,1019
21,Manipur,3,2,0
22,Meghalaya,13,11,1
23,Mizoram,1,1,0
24,Odisha,611,158,3
25,Puducherry,13,9,1
26,Punjab,1935,223,32
27,Rajasthan,4534,2580,125
28,Tamil Nadu,9674,2240,66
29,Telengana,1414,950,34
30,Tripura,156,29,0
31,Uttarakhand,78,50,1
32,Uttar Pradesh,3902,2072,88
33,West Bengal,2377,768,215
