ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5029,4961,62,6
2,Andhra Pradesh,891388,882981,7180,1227
3,Arunachal Pradesh,16840,16780,56,4
4,Assam,217766,215041,1097,1628
5,Bihar,262937,261064,1549,324
6,Chandigarh,22832,21539,357,936
7,Chhattisgarh,316311,308854,3880,3577
8,Dadra and Nagar Haveli and Daman and Diu,3431,3405,2,24
9,Delhi,642870,629841,10936,2093
10,Goa,55758,54209,804,745
11,Gujarat,276622,268196,4420,4006
12,Haryana,274273,268397,3069,2807
13,Himachal Pradesh,59527,57818,1003,706
14,Jammu and Kashmir,127436,124578,1971,887
15,Jharkhand,120524,118922,1093,509
16,Karnataka,958417,937898,12386,8133
17,Kerala,1087443,1050603,4369,32471
18,Ladakh,9846,9686,130,30
19,Lakshadweep,587,380,1,206
20,Madhya Pradesh,267176,258958,3883,4335
21,Maharashtra,2282191,2117744,52723,111724
22,Manipur,29310,28907,373,30
23,Meghalaya,13986,13818,148,20
24,Mizoram,4435,4416,10,9
25,Nagaland,12221,12120,91,10
26,Odisha,338056,335499,1917,640
27,Puducherry,39984,39128,670,186
28,Punjab,194753,178271,6030,10452
29,Rajasthan,322518,317487,2789,2242
30,Sikkim,6183,5994,135,54
31,Tamil Nadu,858272,841250,12539,4483
32,Telangana,300933,297363,1652,1918
33,Tripura,33427,33026,391,10
34,Uttarakhand,97700,95362,1700,638
35,Uttar Pradesh,604958,594396,8743,1819
36,West Bengal,577788,564368,10287,3133
