ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5031,4966,62,3
2,Andhra Pradesh,892008,883380,7185,1443
3,Arunachal Pradesh,16840,16783,56,1
4,Assam,217817,215106,1099,1612
5,Bihar,263051,261171,1552,328
6,Chandigarh,23244,21720,358,1166
7,Chhattisgarh,317974,309979,3897,4098
8,Dadra and Nagar Haveli and Daman and Diu,3440,3407,2,31
9,Delhi,644064,630799,10944,2321
10,Goa,56006,54424,807,775
11,Gujarat,279097,269955,4425,4717
12,Haryana,275557,269268,3077,3212
13,Himachal Pradesh,59750,57983,1010,757
14,Jammu and Kashmir,127734,124823,1974,937
15,Jharkhand,120695,119046,1093,556
16,Karnataka,961204,939928,12397,8879
17,Kerala,1092324,1060560,4407,27357
18,Ladakh,9852,9688,130,34
19,Lakshadweep,606,416,1,189
20,Madhya Pradesh,269391,260477,3890,5024
21,Maharashtra,2329464,2144743,52909,131812
22,Manipur,29313,28916,373,24
23,Meghalaya,13997,13820,148,29
24,Mizoram,4439,4417,10,12
25,Nagaland,12225,12120,91,14
26,Odisha,338258,335730,1918,610
27,Puducherry,40044,39186,672,186
28,Punjab,199573,181532,6099,11942
29,Rajasthan,323220,317858,2790,2572
30,Sikkim,6184,6008,135,41
31,Tamil Nadu,860562,842862,12551,5149
32,Telangana,301522,297851,1656,2015
33,Tripura,33440,33029,391,20
34,Uttarakhand,97866,95581,1704,581
35,Uttar Pradesh,605441,594855,8748,1838
36,West Bengal,578598,565156,10295,3147
