ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,33,15,0
2,Andhra Pradesh,1332,287,31
3,Arunachal Pradesh,1,1,0
4,Assam,38,29,1
5,Bihar,392,65,2
6,Chandigarh,56,17,0
7,Chhattisgarh,38,34,0
8,Delhi,3439,1092,56
9,Goa,7,7,0
10,Gujarat,4082,527,197
11,Haryana,310,209,3
12,Himachal Pradesh,40,25,1
13,Jammu and Kashmir,581,192,8
14,Jharkhand,107,19,3
15,Karnataka,535,216,21
16,Kerala,495,369,4
17,Ladakh,22,16,0
18,Madhya Pradesh,2561,461,129
19,Maharashtra,9915,1593,432
20,Manipur,2,2,0
21,Meghalaya,12,0,1
22,Mizoram,1,0,0
23,Odisha,125,39,1
24,Puducherry,8,3,0
25,Punjab,357,90,19
26,Rajasthan,2438,768,51
27,Tamil Nadu,2162,1210,27
28,Telengana,1012,367,26
29,Tripura,2,2,0
30,Uttarakhand,55,36,0
31,Uttar Pradesh,2134,510,39
32,West Bengal,758,124,22
