ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4989,4897,62,30
2,Andhra Pradesh,886245,877443,7142,1660
3,Arunachal Pradesh,16815,16707,56,52
4,Assam,216887,213084,1075,2728
5,Bihar,257991,253289,1461,3241
6,Chandigarh,20595,20080,330,185
7,Chhattisgarh,294355,284848,3575,5932
8,Dadra and Nagar Haveli and Daman and Diu,3391,3380,2,9
9,Delhi,632821,619723,10764,2334
10,Goa,52570,50952,756,862
11,Gujarat,256852,246516,4369,5967
12,Haryana,266581,261751,2993,1837
13,Himachal Pradesh,57019,55468,967,584
14,Jammu and Kashmir,123538,120512,1923,1103
15,Jharkhand,117887,115683,1057,1147
16,Karnataka,933077,913012,12181,7884
17,Kerala,857380,783393,3506,70481
18,Ladakh,9662,9454,129,79
19,Lakshadweep,21,0,0,21
20,Madhya Pradesh,252186,242691,3763,5732
21,Maharashtra,1994977,1894839,50523,49615
22,Manipur,28900,28298,367,235
23,Meghalaya,13710,13433,144,133
24,Mizoram,4334,4258,9,67
25,Nagaland,12066,11866,88,112
26,Odisha,333566,330051,1902,1613
27,Puducherry,38706,37766,643,297
28,Punjab,170937,163009,5516,2412
29,Rajasthan,315603,308547,2752,4304
30,Sikkim,6052,5765,131,156
31,Tamil Nadu,831866,814098,12281,5487
32,Telangana,292395,286893,1583,3919
33,Tripura,33336,32907,391,38
34,Uttarakhand,95039,91428,1619,1992
35,Uttar Pradesh,597238,580482,8584,8172
36,West Bengal,566073,549218,10074,6781
