ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,3691,3479,52,160
2,Andhra Pradesh,639302,562376,5461,71465
3,Arunachal Pradesh,7844,5778,14,2052
4,Assam,161393,130950,586,29857
5,Bihar,171255,157454,873,12928
6,Chandigarh,10546,7794,130,2622
7,Chhattisgarh,90917,52001,718,38198
8,Dadra and Nagar Haveli and Daman and Diu,2944,2744,2,198
9,Delhi,253075,216401,5051,31623
10,Goa,29343,23462,368,5513
11,Gujarat,126007,106285,3352,16370
12,Haryana,114870,93776,1206,19888
13,Himachal Pradesh,12769,8511,134,4124
14,Jammu and Kashmir,66261,43734,1042,21485
15,Jharkhand,73948,60027,641,13280
16,Karnataka,533850,432450,8228,93172
17,Kerala,142756,101731,572,40453
18,Ladakh,3887,2809,50,1028
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,110711,86030,2035,22646
21,Maharashtra,1242770,936554,33407,272809
22,Manipur,9280,6887,60,2333
23,Meghalaya,4791,2706,38,2047
24,Mizoram,1713,1023,0,690
25,Nagaland,5604,4517,15,1072
26,Odisha,188311,153213,721,34377
27,Puducherry,23684,18454,473,4757
28,Punjab,101341,77127,2926,21288
29,Rajasthan,118793,98812,1367,18614
30,Sikkim,2594,2009,29,556
31,Tamil Nadu,552674,497377,8947,46350
32,Telangana,177070,146135,1062,29873
33,Tripura,23338,16486,253,6599
34,Uttarakhand,42651,30308,512,11831
35,Uttar Pradesh,364543,296183,5212,63148
36,West Bengal,231484,202030,4483,24971
