ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4991,4900,62,29
2,Andhra Pradesh,886418,877639,7142,1637
3,Arunachal Pradesh,16815,16713,56,46
4,Assam,216919,213179,1077,2663
5,Bihar,258176,253569,1464,3143
6,Chandigarh,20623,20122,330,171
7,Chhattisgarh,294949,285566,3585,5798
8,Dadra and Nagar Haveli and Daman and Diu,3393,3380,2,11
9,Delhi,633049,620128,10774,2147
10,Goa,52657,51036,756,865
11,Gujarat,257342,247223,4371,5748
12,Haryana,266686,261955,2997,1734
13,Himachal Pradesh,57082,55540,967,575
14,Jammu and Kashmir,123647,120625,1923,1099
15,Jharkhand,118012,115853,1057,1102
16,Karnataka,933578,913677,12185,7716
17,Kerala,864195,790757,3524,69914
18,Ladakh,9668,9463,129,76
19,Lakshadweep,30,0,0,30
20,Madhya Pradesh,252466,243688,3770,5008
21,Maharashtra,1997992,1899428,50582,47982
22,Manipur,28919,28308,367,244
23,Meghalaya,13717,13440,144,133
24,Mizoram,4346,4268,9,69
25,Nagaland,12067,11873,88,106
26,Odisha,333723,330321,1902,1500
27,Puducherry,38737,37798,643,296
28,Punjab,171136,163211,5520,2405
29,Rajasthan,315816,308985,2754,4077
30,Sikkim,6057,5766,131,160
31,Tamil Nadu,832415,814811,12290,5314
32,Telangana,292621,287117,1584,3920
33,Tripura,33339,32911,391,37
34,Uttarakhand,95192,91565,1622,2005
35,Uttar Pradesh,597628,581164,8591,7873
36,West Bengal,566482,549727,10080,6675
