ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,1222,425,19,778
2,Andhra Pradesh,206960,120464,1842,84654
3,Arunachal Pradesh,2049,1326,3,720
4,Assam,55496,38809,132,16555
5,Bihar,71304,44482,369,26453
6,Chandigarh,1374,820,23,531
7,Chhattisgarh,11408,8319,87,3002
8,Dadra and Nagar Haveli and Daman and Diu,1437,1014,2,421
9,Delhi,142723,128232,4082,10409
10,Goa,7947,5595,70,2282
11,Gujarat,68768,51720,2605,14443
12,Haryana,40054,33444,467,6143
13,Himachal Pradesh,3150,1954,14,1182
14,Jammu and Kashmir,23927,16218,449,7260
15,Jharkhand,16465,7391,151,8923
16,Karnataka,164924,84232,2998,77694
17,Kerala,31700,19147,102,12451
18,Ladakh,1614,1194,9,411
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,37298,27621,962,8715
21,Maharashtra,490262,327281,17092,145889
22,Manipur,3466,1926,10,1530
23,Meghalaya,1006,411,5,590
24,Mizoram,566,289,0,277
25,Nagaland,2657,824,7,1826
26,Odisha,42550,28698,247,13605
27,Puducherry,4862,2914,75,1873
28,Punjab,21930,14040,539,7351
29,Rajasthan,50157,36195,767,13195
30,Sikkim,854,406,1,447
31,Tamil Nadu,285024,227575,4690,52759
32,Telangana,77513,54330,615,22568
33,Tripura,5999,4084,37,1878
34,Uttarakhand,8901,5731,112,3058
35,Uttar Pradesh,113378,66834,1981,44563
36,West Bengal,89666,63060,1954,24652
