ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5123,5010,62,51
2,Andhra Pradesh,910943,891883,7251,11809
3,Arunachal Pradesh,16853,16786,56,11
4,Assam,218832,215691,1111,2030
5,Bihar,270392,263849,1588,4955
6,Chandigarh,28798,25375,386,3037
7,Chhattisgarh,386269,329408,4416,52445
8,Dadra and Nagar Haveli and Daman and Diu,3788,3590,2,196
9,Delhi,685062,656617,11113,17332
10,Goa,59702,56393,838,2471
11,Gujarat,324878,302932,4598,17348
12,Haryana,302272,284984,3208,14080
13,Himachal Pradesh,66237,61416,1081,3740
14,Jammu and Kashmir,134015,127520,2012,4483
15,Jharkhand,129596,121608,1144,6844
16,Karnataka,1026584,968762,12696,45126
17,Kerala,1141092,1106123,4694,30275
18,Ladakh,10353,9824,130,399
19,Lakshadweep,751,712,1,38
20,Madhya Pradesh,313971,285743,4073,24155
21,Maharashtra,3113354,2583331,56330,473693
22,Manipur,29435,28998,374,63
23,Meghalaya,14135,13881,150,104
24,Mizoram,4508,4447,11,50
25,Nagaland,12365,12140,92,133
26,Odisha,343856,338416,1922,3518
27,Puducherry,42776,40317,686,1773
28,Punjab,257057,223928,7216,25913
29,Rajasthan,343990,324996,2854,16140
30,Sikkim,6286,6085,136,65
31,Tamil Nadu,907124,868722,12804,25598
32,Telangana,316649,303298,1734,11617
33,Tripura,33575,33092,393,90
34,Uttarakhand,103602,98259,1736,3607
35,Uttar Pradesh,639928,603495,8924,27509
36,West Bengal,597634,574504,10355,12775
