ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,176,130,0,46
2,Andhra Pradesh,35451,18378,452,16621
3,Arunachal Pradesh,462,153,3,306
4,Assam,18666,12173,46,6447
5,Bihar,20612,13462,180,6970
6,Chandigarh,625,459,11,155
7,Chhattisgarh,4539,3324,20,1195
8,Dadra and Nagar Haveli and Daman and Diu,539,357,2,180
9,Delhi,116993,95699,3487,17807
10,Goa,2951,1674,18,1259
11,Gujarat,44552,31286,2079,11187
12,Haryana,23306,17667,319,5320
13,Himachal Pradesh,1341,979,11,351
14,Jammu and Kashmir,11666,6337,206,5123
15,Jharkhand,4320,2485,38,1797
16,Karnataka,47253,18466,928,27859
17,Kerala,9553,4634,35,4884
18,Ladakh,1142,964,1,177
19,Madhya Pradesh,19643,13908,682,5053
20,Maharashtra,275640,152613,10928,112099
21,Manipur,1700,989,0,711
22,Meghalaya,346,66,2,278
23,Mizoram,238,159,0,79
24,Nagaland,902,348,0,554
25,Odisha,14898,10476,77,4345
26,Puducherry,1596,889,21,686
27,Punjab,8799,5867,221,2711
28,Rajasthan,26437,19502,530,6405
29,Sikkim,220,87,0,133
30,Tamil Nadu,151820,102310,2167,47343
31,Telangana,39342,25999,386,12957
32,Tripura,2268,1604,3,661
33,Uttarakhand,3785,2948,50,787
34,Uttar Pradesh,41383,25743,1012,14628
35,West Bengal,34427,20680,1000,12747
