ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,1625,709,20,896
2,Andhra Pradesh,235525,145636,2116,87773
3,Arunachal Pradesh,2231,1592,3,636
4,Assam,61737,43586,151,18000
5,Bihar,82550,54088,397,28065
6,Chandigarh,1595,1004,25,566
7,Chhattisgarh,12448,9013,99,3336
8,Dadra and Nagar Haveli and Daman and Diu,1613,1167,2,444
9,Delhi,146134,131657,4131,10346
10,Goa,9029,6208,80,2741
11,Gujarat,72031,55304,2672,14055
12,Haryana,42429,35492,489,6448
13,Himachal Pradesh,3463,2205,17,1241
14,Jammu and Kashmir,25367,17375,478,7514
15,Jharkhand,18723,9724,188,8811
16,Karnataka,182354,99126,3312,79916
17,Kerala,35515,22616,115,12784
18,Ladakh,1717,1237,9,471
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,39891,29674,1015,9202
21,Maharashtra,524513,358421,18050,148042
22,Manipur,3853,2122,11,1720
23,Meghalaya,1114,498,6,610
24,Mizoram,623,323,0,300
25,Nagaland,3011,973,8,2030
26,Odisha,47455,33021,286,14148
27,Puducherry,5624,3355,89,2180
28,Punjab,24889,15735,604,8550
29,Rajasthan,53670,39060,800,13810
30,Sikkim,910,510,1,399
31,Tamil Nadu,302815,244675,5041,53099
32,Telangana,82647,59374,645,22628
33,Tripura,6372,4656,43,1673
34,Uttarakhand,10021,6301,134,3586
35,Uttar Pradesh,126722,76724,2120,47878
36,West Bengal,98459,70328,2100,26031
