ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,15,11,0
2,Andhra Pradesh,646,42,15
3,Arunachal Pradesh,1,0,0
4,Assam,35,17,1
5,Bihar,93,42,2
6,Chandigarh,26,13,0
7,Chhattisgarh,36,25,0
8,Delhi,2003,72,45
9,Goa,7,7,0
10,Gujarat,1743,105,63
11,Haryana,233,87,3
12,Himachal Pradesh,39,16,1
13,Jammu and Kashmir,350,56,5
14,Jharkhand,42,0,2
15,Karnataka,390,111,16
16,Kerala,402,270,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1407,127,70
19,Maharashtra,4203,507,223
20,Manipur,2,1,0
21,Meghalaya,11,0,1
22,Mizoram,1,0,0
23,Nagaland,0,0,0
24,Odisha,68,24,1
25,Puducherry,7,3,0
26,Punjab,219,31,16
27,Rajasthan,1478,183,14
28,Tamil Nadu,1477,411,15
29,Telengana,844,186,18
30,Tripura,2,1,0
31,Uttarakhand,44,11,0
32,Uttar Pradesh,1084,108,17
32,West Bengal,339,66,12
