ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,5042,4974,62,6
2,Andhra Pradesh,895879,885209,7201,3469
3,Arunachal Pradesh,16842,16785,56,1
4,Assam,218139,215299,1104,1736
5,Bihar,264198,261706,1567,925
6,Chandigarh,25356,22702,368,2286
7,Chhattisgarh,332113,314769,4026,13318
8,Dadra and Nagar Haveli and Daman and Diu,3536,3442,2,92
9,Delhi,652742,636267,10978,5497
10,Goa,57170,55070,822,1278
11,Gujarat,294130,280285,4473,9372
12,Haryana,283622,273276,3117,7229
13,Himachal Pradesh,61616,58684,1029,1903
14,Jammu and Kashmir,129203,125627,1983,1593
15,Jharkhand,121973,119698,1100,1175
16,Karnataka,978478,947781,12471,18226
17,Kerala,1111897,1082668,4539,24690
18,Ladakh,9948,9713,130,105
19,Lakshadweep,708,596,1,111
20,Madhya Pradesh,282174,267242,3928,11004
21,Maharashtra,2600833,2283037,53795,264001
22,Manipur,29367,28936,374,57
23,Meghalaya,14022,13849,150,23
24,Mizoram,4460,4425,11,24
25,Nagaland,12229,12133,92,4
26,Odisha,339460,336409,1919,1132
27,Puducherry,40740,39521,679,540
28,Punjab,222937,195015,6517,21405
29,Rajasthan,327890,319933,2808,5149
30,Sikkim,6212,6037,135,40
31,Tamil Nadu,873219,850091,12641,10487
32,Telangana,305309,299631,1683,3995
33,Tripura,33482,33046,392,44
34,Uttarakhand,99072,96215,1707,1150
35,Uttar Pradesh,610273,596451,8773,5049
36,West Bengal,582381,568115,10316,3950
