ID,state,total_cases,discharged,deaths
1,Andaman and Nicobar Islands,14,11,0
2,Andhra Pradesh,603,42,15
3,Arunachal Pradesh,1,0,0
4,Assam,35,12,1
5,Bihar,86,37,2
6,Chandigarh,23,10,0
7,Chhattisgarh,36,24,0
8,Delhi,1893,72,42
9,Goa,7,6,0
10,Gujarat,1376,93,53
11,Haryana,225,43,3
12,Himachal Pradesh,39,16,1
13,Jammu and Kashmir,341,51,5
14,Jharkhand,34,0,2
15,Karnataka,384,104,14
16,Kerala,400,257,3
17,Ladakh,18,14,0
18,Madhya Pradesh,1407,127,70
19,Maharashtra,3651,365,211
20,Manipur,2,1,0
21,Meghalaya,11,0,1
22,Mizoram,1,0,0
23,Nagaland#,0,0,0
24,Odisha,61,24,1
25,Puducherry,7,3,0
26,Punjab,202,27,13
27,Rajasthan,1351,183,11
28,Tamil Nadu,1372,365,15
29,Telengana,809,186,18
30,Tripura,2,1,0
31,Uttarakhand,42,9,0
32,Uttar Pradesh,969,86,14
32,West Bengal,310,62,12
