ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4842,4688,61,93
2,Andhra Pradesh,876336,864612,7064,4660
3,Arunachal Pradesh,16553,16264,55,234
4,Assam,214945,210401,1004,3540
5,Bihar,243281,236782,1329,5170
6,Chandigarh,18776,17837,304,635
7,Chhattisgarh,260240,239468,3135,17637
8,Dadra and Nagar Haveli and Daman and Diu,3359,3338,2,19
9,Delhi,610447,585852,10115,14480
10,Goa,49566,47861,710,995
11,Gujarat,229913,212839,4193,12881
12,Haryana,254207,243224,2751,8232
13,Himachal Pradesh,50196,42568,836,6792
14,Jammu and Kashmir,116600,110354,1812,4434
15,Jharkhand,111931,109352,1001,1578
16,Karnataka,903425,875796,11965,15664
17,Kerala,677255,616666,2680,57909
18,Ladakh,9217,8469,123,625
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,225709,209768,3425,12516
21,Maharashtra,1886807,1766010,48339,72458
22,Manipur,27292,24880,327,2085
23,Meghalaya,13007,12186,131,690
24,Mizoram,4080,3894,7,179
25,Nagaland,11761,11097,69,595
26,Odisha,324389,319850,1815,2724
27,Puducherry,37550,36633,620,297
28,Punjab,161053,149434,5117,6502
29,Rajasthan,293584,275506,2568,15510
30,Sikkim,5365,4952,119,294
31,Tamil Nadu,801161,779291,11919,9951
32,Telangana,279135,270450,1502,7183
33,Tripura,33081,32397,378,306
34,Uttarakhand,83502,76041,1372,6089
35,Uttar Pradesh,568064,541579,8103,18382
36,West Bengal,525918,496110,9145,20663
