ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,1027,326,14,687
2,Andhra Pradesh,186461,104354,1681,80426
3,Arunachal Pradesh,1855,1210,3,642
4,Assam,50445,35892,121,14432
5,Bihar,64770,42414,355,22001
6,Chandigarh,1270,715,20,535
7,Chhattisgarh,10407,7871,71,2465
8,Dadra and Nagar Haveli and Daman and Diu,1366,960,2,404
9,Delhi,140232,126116,4044,10072
10,Goa,7423,5287,64,2072
11,Gujarat,66669,49433,2556,14680
12,Haryana,38548,31960,455,6133
13,Himachal Pradesh,2916,1762,14,1140
14,Jammu and Kashmir,22955,15244,426,7285
15,Jharkhand,14888,5703,136,9049
16,Karnataka,151449,74679,2804,73966
17,Kerala,29151,17533,94,11524
18,Ladakh,1592,1164,7,421
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,35734,26064,929,8741
21,Maharashtra,468265,305521,16476,146268
22,Manipur,3093,1862,7,1224
23,Meghalaya,929,330,5,594
24,Mizoram,537,286,0,251
25,Nagaland,2498,685,6,1807
26,Odisha,39018,25738,225,13055
27,Puducherry,4433,2668,65,1700
28,Punjab,19856,12943,491,6422
29,Rajasthan,47272,33849,745,12678
30,Sikkim,800,303,1,496
31,Tamil Nadu,273460,214815,4461,54184
32,Telangana,73050,52103,589,20358
33,Tripura,5725,3793,31,1901
34,Uttarakhand,8254,5233,98,2923
35,Uttar Pradesh,104388,60558,1857,41973
36,West Bengal,83800,58962,1846,22992
