ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4949,4856,62,31
2,Andhra Pradesh,883587,873427,7122,3038
3,Arunachal Pradesh,16744,16609,56,79
4,Assam,216381,212249,1057,3075
5,Bihar,253695,247929,1415,4351
6,Chandigarh,20026,19464,322,240
7,Chhattisgarh,284536,271988,3437,9111
8,Dadra and Nagar Haveli and Daman and Diu,3379,3370,2,7
9,Delhi,627698,612527,10609,4562
10,Goa,51415,49811,744,860
11,Gujarat,248581,235426,4325,8830
12,Haryana,263571,257952,2927,2692
13,Himachal Pradesh,55910,53523,948,1439
14,Jammu and Kashmir,121923,117426,1897,2600
15,Jharkhand,115840,113380,1038,1422
16,Karnataka,923353,901579,12118,9656
17,Kerala,784488,717311,3184,63993
18,Ladakh,9577,9215,127,235
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,245318,233229,3662,8427
21,Maharashtra,1950171,1850189,49759,50223
22,Manipur,28418,27613,363,442
23,Meghalaya,13506,13216,141,149
24,Mizoram,4247,4153,8,86
25,Nagaland,11937,11714,79,144
26,Odisha,330690,326778,1887,2025
27,Puducherry,38300,37292,635,373
28,Punjab,167652,159265,5404,2983
29,Rajasthan,310675,300126,2719,7830
30,Sikkim,5938,5316,129,493
31,Tamil Nadu,822370,802385,12177,7808
32,Telangana,288410,281872,1556,4982
33,Tripura,33286,32835,387,64
34,Uttarakhand,92366,87105,1544,3717
35,Uttar Pradesh,589611,568892,8433,12286
36,West Bengal,556384,537250,9841,9293
