ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,38,33,0,5
2,Andhra Pradesh,5429,3048,80,2301
3,Arunachal Pradesh,61,4,0,57
4,Assam,3319,1432,6,1881
5,Bihar,5983,3266,36,2681
6,Chandigarh,332,286,5,41
7,Chhattisgarh,1398,447,6,945
8,Dadra and Nagar Haveli and Daman and Diu,30,2,0,28
9,Delhi,34687,12731,1085,20871
10,Goa,417,67,0,350
11,Gujarat,22032,15101,1385,5546
12,Haryana,5968,2260,64,3644
13,Himachal Pradesh,470,280,6,184
14,Jammu and Kashmir,4574,1820,52,2702
15,Jharkhand,1599,630,8,961
16,Karnataka,6245,2977,72,3196
17,Kerala,2244,968,18,1258
18,Ladakh,135,54,1,80
19,Madhya Pradesh,10241,7042,431,2768
20,Maharashtra,97648,46078,3590,47980
21,Manipur,366,73,0,293
22,Meghalaya,44,18,1,25
23,Mizoram,102,1,0,101
24,Nagaland,128,22,0,106
25,Odisha,3386,2354,9,1023
26,Puducherry,157,67,2,88
27,Punjab,2887,2259,59,569
28,Rajasthan,11838,8775,265,2798
29,Sikkim,14,2,0,12
30,Tamil Nadu,38716,20705,349,17662
31,Telangana,4320,1993,165,2162
32,Tripura,913,278,1,634
33,Uttarakhand,1643,842,15,786
34,Uttar Pradesh,12088,7292,345,4451
35,West Bengal,9768,3988,442,5338
