ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,116,54,0,62
2,Andhra Pradesh,16934,7632,206,9096
3,Arunachal Pradesh,252,75,1,176
4,Assam,9673,6349,14,3310
5,Bihar,10954,8214,80,2660
6,Chandigarh,457,393,6,58
7,Chhattisgarh,3065,2437,14,614
8,Dadra and Nagar Haveli and Daman and Diu,257,96,0,161
9,Delhi,94695,65624,2923,26148
10,Goa,1482,734,4,744
11,Gujarat,34600,24933,1904,7763
12,Haryana,16003,11691,255,4057
13,Himachal Pradesh,1033,667,10,356
14,Jammu and Kashmir,8019,5075,119,2825
15,Jharkhand,2695,2001,15,679
16,Karnataka,19710,8805,293,10612
17,Kerala,4964,2841,25,2098
18,Ladakh,1001,777,1,223
19,Madhya Pradesh,14297,11049,593,2655
20,Maharashtra,192990,104687,8376,79927
21,Manipur,1316,639,0,677
22,Meghalaya,62,43,1,18
23,Mizoram,162,126,0,36
24,Nagaland,539,228,0,311
25,Odisha,8106,5705,29,2372
26,Puducherry,802,331,12,459
27,Punjab,5937,4266,157,1514
28,Rajasthan,19052,15281,440,3331
29,Sikkim,102,53,0,49
30,Tamil Nadu,102721,58378,1385,42958
31,Telangana,20462,10195,283,9984
32,Tripura,1525,1199,1,325
33,Uttarakhand,3048,2481,42,525
34,Uttar Pradesh,25797,17597,749,7451
35,West Bengal,20488,13571,717,6200
