ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,33,33,0,0
2,Andhra Pradesh,4303,2576,73,1654
3,Arunachal Pradesh,45,1,0,44
4,Assam,2153,498,4,1651
5,Bihar,4596,2225,29,2342
6,Chandigarh,304,222,5,77
7,Chhattisgarh,879,244,2,633
8,Dadar Nagar Haveli,14,1,0,13
9,Delhi,26334,10315,708,15311
10,Goa,196,65,0,131
11,Gujarat,19094,13003,1190,4901
12,Haryana,3597,2134,24,1439
13,Himachal Pradesh,393,189,5,199
14,Jammu and Kashmir,3324,1086,36,2202
15,Jharkhand,881,410,7,464
16,Karnataka,4835,1688,57,3090
17,Kerala,1699,712,14,973
18,Ladakh,97,48,1,48
19,Madhya Pradesh,8996,5878,384,2734
20,Maharashtra,80229,35156,2849,42224
21,Manipur,132,41,0,91
22,Meghalaya,33,13,1,19
23,Mizoram,22,1,0,21
24,Nagaland,94,0,0,94
25,Odisha,2608,1604,8,996
26,Puducherry,99,36,0,63
27,Punjab,2461,2069,48,344
28,Rajasthan,10084,7359,218,2507
29,Sikkim,3,0,0,3
30,Tamil Nadu,28694,15762,232,12700
31,Telengana,3290,1627,113,1550
32,Tripura,692,173,0,519
33,Uttarakhand,1215,344,11,860
34,Uttar Pradesh,9733,5648,257,3828
35,West Bengal,7303,2912,366,4025
