ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4747,4616,61,70
2,Andhra Pradesh,871305,858115,7024,6166
3,Arunachal Pradesh,16384,15581,55,748
4,Assam,213662,209130,989,3543
5,Bihar,237552,230630,1292,5630
6,Chandigarh,17926,16754,289,883
7,Chhattisgarh,245580,223070,2977,19533
8,Dadra and Nagar Haveli and Daman and Diu,3341,3326,2,13
9,Delhi,589544,553292,9574,26678
10,Goa,48574,46493,697,1384
11,Gujarat,217333,198527,4064,14742
12,Haryana,242398,226524,2564,13310
13,Himachal Pradesh,44405,35437,721,8247
14,Jammu and Kashmir,112757,106006,1742,5009
15,Jharkhand,110186,107362,979,1845
16,Karnataka,891685,854861,11846,24978
17,Kerala,631615,567694,2390,61531
18,Ladakh,8840,7836,120,884
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,213050,196192,3326,13532
21,Maharashtra,1847509,1715884,47694,83931
22,Manipur,25857,22655,299,2903
23,Meghalaya,12164,11392,118,654
24,Mizoram,3934,3708,6,220
25,Nagaland,11340,10761,65,514
26,Odisha,320803,315270,1765,3768
27,Puducherry,37209,36176,614,419
28,Punjab,155424,142791,4906,7727
29,Rajasthan,278496,252911,2409,23176
30,Sikkim,5168,4686,115,367
31,Tamil Nadu,788920,766261,11777,10882
32,Telangana,273341,263744,1472,8125
33,Tripura,32891,32068,372,451
34,Uttarakhand,77573,71116,1281,5176
35,Uttar Pradesh,553012,522867,7900,22245
36,West Bengal,499697,467056,8677,23964
