ID,state,total_cases,discharged,deaths,active_cases
1,Andaman and Nicobar Islands,4557,4346,61,150
2,Andhra Pradesh,854764,829991,6881,17892
3,Arunachal Pradesh,15868,14588,48,1232
4,Assam,210454,206044,964,3446
5,Bihar,226417,220007,1189,5221
6,Chandigarh,15886,14584,250,1052
7,Chhattisgarh,211644,190463,2604,18577
8,Dadra and Nagar Haveli and Daman and Diu,3294,3273,2,19
9,Delhi,489202,441361,7713,40128
10,Goa,46028,43941,663,1424
11,Gujarat,189236,172972,3808,12456
12,Haryana,202027,180647,2038,19342
13,Himachal Pradesh,30156,22931,450,6775
14,Jammu and Kashmir,103009,95824,1597,5588
15,Jharkhand,106230,102548,928,2754
16,Karnataka,862804,825141,11541,26122
17,Kerala,527708,454774,1888,71046
18,Ladakh,7493,6456,93,944
19,Lakshadweep,0,0,0,0
20,Madhya Pradesh,184524,172436,3092,8996
21,Maharashtra,1749777,1618380,46034,85363
22,Manipur,22049,18832,224,2993
23,Meghalaya,10706,9672,101,933
24,Mizoram,3444,2915,5,524
25,Nagaland,10025,8959,53,1013
26,Odisha,309408,299159,1543,8706
27,Puducherry,36337,34827,608,902
28,Punjab,142082,132001,4480,5601
29,Rajasthan,227986,207224,2078,18684
30,Sikkim,4521,4137,91,293
31,Tamil Nadu,759916,732656,11495,15765
32,Telangana,258828,243686,1410,13732
33,Tripura,32039,30631,364,1044
34,Uttarakhand,68458,63158,1116,4184
35,Uttar Pradesh,512850,482854,7393,22603
36,West Bengal,434563,398952,7714,27897
