ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,289464,152144,441608
2,Andhra Pradesh,27224534,13599095,40823629
3,Arunachal Pradesh,754746,410636,1165382
4,Assam,18402839,5507795,23910634
5,Bihar,43441833,10719041,54160874
6,Chandigarh,899124,445090,1344214
7,Chhattisgarh,13018404,5204244,18222648
8,Dadra and Nagar Haveli and Daman and Diu,645092,271374,916466
9,Delhi,11993231,5716816,17710047
10,Goa,1224184,690461,1914645
11,Gujarat,41825958,18758685,60584643
12,Haryana,16486940,6208157,22695097
13,Himachal Pradesh,5658695,2702531,8361226
14,Jammu and Kashmir,7853933,3482680,11336613
15,Jharkhand,13563326,4067529,17630855
16,Karnataka,39176687,17038279,56214966
17,Kerala,24648964,10855893,35504857
18,Ladakh,204742,136734,341476
19,Lakshadweep,54806,41352,96158
20,Madhya Pradesh,48095796,14925458,63021254
21,Maharashtra,57091306,23914352,81005658
22,Manipur,1223296,476745,1700041
23,Meghalaya,1070474,465682,1536156
24,Mizoram,696273,434973,1131246
25,Nagaland,685994,360879,1046873
26,Odisha,22016349,8371879,30388228
27,Puducherry,699583,311583,1011166
28,Punjab,14479337,4994027,19473364
29,Rajasthan,40294094,15447589,55741683
30,Sikkim,518116,384336,902452
31,Tamil Nadu,35834757,11036819,46871576
32,Telangana,18357955,6920355,25278310
33,Tripura,2494132,1365537,3859669
34,Uttarakhand,7351418,3105481,10456899
35,Uttar Pradesh,85574378,20372369,105946747
36,West Bengal,40720078,16540656,57260734
37,Miscellaneous,1902903,1559581,3462484
