ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,215077,94272,309349
2,Andhra Pradesh,17533276,6167861,23701137
3,Arunachal Pradesh,689352,183631,872983
4,Assam,10262204,2161640,12423844
5,Bihar,23190928,4447714,27638642
6,Chandigarh,690815,220658,911473
7,Chhattisgarh,9960587,2597535,12558122
8,Dadra and Nagar Haveli and Daman and Diu,337747,36883,374630
9,Delhi,7750023,2940832,10690855
10,Goa,1089647,298023,1387670
11,Gujarat,27638343,8961874,36600217
12,Haryana,10000745,2870952,12871697
13,Himachal Pradesh,4190561,1360987,5551548
14,Jammu and Kashmir,5270362,1469679,6740041
15,Jharkhand,8317319,1977828,10295147
16,Karnataka,25591995,7335688,32927683
17,Kerala,15472773,6370804,21843577
18,Ladakh,188426,69959,258385
19,Lakshadweep,50962,16951,67913
20,Madhya Pradesh,29251677,5649657,34901334
21,Maharashtra,34789942,11968889,46758831
22,Manipur,1153506,239140,1392646
23,Meghalaya,932764,226661,1159425
24,Mizoram,653446,204972,858418
25,Nagaland,630259,157175,787434
26,Odisha,13749535,4154065,17903600
27,Puducherry,597505,150743,748248
28,Punjab,8110573,2232985,10343558
29,Rajasthan,26798140,8286045,35084185
30,Sikkim,497154,150743,647897
31,Tamil Nadu,20642170,4642265,25284435
32,Telangana,11597340,3897011,15494351
33,Tripura,2406618,800317,3206935
34,Uttarakhand,5042017,1583476,6625493
35,Uttar Pradesh,45211784,8396910,53608694
36,West Bengal,23018390,9081172,32099562
37,Miscellaneous,1899985,1548575,3448560
