ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,298072,276925,574997
2,Andhra Pradesh,37487941,26649475,64137416
3,Arunachal Pradesh,800099,630274,1430373
4,Assam,21597997,13676393,35274390
5,Bihar,55934625,33463566,89398191
6,Chandigarh,953375,673347,1626722
7,Chhattisgarh,17185412,10659366,27844778
8,Dadra and Nagar Haveli and Daman and Diu,684200,470240,1154440
9,Delhi,14409155,9694184,24103339
10,Goa,1292178,1063674,2355852
11,Gujarat,46305011,38931898,85236909
12,Haryana,18933210,11285580,30218790
13,Himachal Pradesh,5846269,5433797,11280066
14,Jammu and Kashmir,9639989,7619779,17259768
15,Jharkhand,17231845,9028590,26260435
16,Karnataka,46491564,33746464,80238028
17,Kerala,25881949,18882674,44764623
18,Ladakh,212873,173787,386660
19,Lakshadweep,55510,50784,106294
20,Madhya Pradesh,51650085,42583391,94233476
21,Maharashtra,77633835,45974230,123608065
22,Manipur,1301583,932959,2234542
23,Meghalaya,1195429,849729,2045158
24,Mizoram,740532,572175,1312707
25,Nagaland,749682,561583,1311265
26,Odisha,28384821,17602488,45987309
27,Puducherry,802786,511819,1314605
28,Punjab,16802615,8373808,25176423
29,Rajasthan,44670118,29590900,74261018
30,Sikkim,524040,476480,1000520
31,Tamil Nadu,47560294,28910991,76471285
32,Telangana,26561634,14598642,41160276
33,Tripura,2561675,2077501,4639176
34,Uttarakhand,7668305,5653946,13322251
35,Uttar Pradesh,118180580,58693681,176874261
36,West Bengal,64047643,32924529,96972172
37,Miscellaneous,2237744,1569906,3807650
