ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,112476,15250,127726
2,Andhra Pradesh,8408633,2583684,10992317
3,Arunachal Pradesh,305911,78679,384590
4,Assam,3532489,855435,4387924
5,Bihar,9267055,1857120,11124175
6,Chandigarh,307859,75225,383084
7,Chhattisgarh,5980265,1135792,7116057
8,Dadra and Nagar Haveli and Daman and Diu,203098,26083,229181
9,Delhi,4415335,1318154,5733489
10,Goa,484965,96496,581461
11,Gujarat,14337549,4326696,18664245
12,Haryana,5267430,1025177,6292607
13,Himachal Pradesh,2101788,434456,2536244
14,Jammu and Kashmir,2929158,569222,3498380
15,Jharkhand,3858263,748926,4607189
16,Karnataka,12587116,2891221,15478337
17,Kerala,8288579,2170392,10458971
18,Ladakh,142933,37320,180253
19,Lakshadweep,33294,6979,40273
20,Madhya Pradesh,11290689,1851749,13142438
21,Maharashtra,19559193,4852055,24411248
22,Manipur,433393,70995,504388
23,Meghalaya,403754,74502,478256
24,Mizoram,276294,51410,327704
25,Nagaland,239503,52079,291582
26,Odisha,6930830,1524319,8455149
27,Puducherry,242308,51823,294131
28,Punjab,4540077,799057,5339134
29,Rajasthan,14587044,3256747,17843791
30,Sikkim,180250,59724,239974
31,Tamil Nadu,8016934,2102648,10119582
32,Telangana,5539018,1310592,6849610
33,Tripura,1132250,508241,1640491
34,Uttarakhand,2395248,688565,3083813
35,Uttar Pradesh,17055927,3655756,20711683
36,West Bengal,12482843,3960543,16443386
37,Miscellaneous,1725996,1479867,3205863
