ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,292202,172247,464449
2,Andhra Pradesh,29888413,16445530,46333943
3,Arunachal Pradesh,764965,481564,1246529
4,Assam,19697342,6511177,26208519
5,Bihar,47228020,14168728,61396748
6,Chandigarh,917117,498492,1415609
7,Chhattisgarh,13764641,6164721,19929362
8,Dadra and Nagar Haveli and Daman and Diu,654096,331204,985300
9,Delhi,12688497,6752902,19441399
10,Goa,1245269,807174,2052443
11,Gujarat,43872383,22482600,66354983
12,Haryana,17355044,7205534,24560578
13,Himachal Pradesh,5686444,3005678,8692122
14,Jammu and Kashmir,9337723,4186527,13524250
15,Jharkhand,14359017,4688382,19047399
16,Karnataka,40699973,19847890,60547863
17,Kerala,25038801,11979441,37018242
18,Ladakh,207495,146489,353984
19,Lakshadweep,55027,44413,99440
20,Madhya Pradesh,49096959,16843277,65940236
21,Maharashtra,62897496,27848961,90746457
22,Manipur,1234670,574926,1809596
23,Meghalaya,1086453,547948,1634401
24,Mizoram,704239,486995,1191234
25,Nagaland,699101,431794,1130895
26,Odisha,23985509,9803445,33788954
27,Puducherry,717488,357059,1074547
28,Punjab,15384420,5686889,21071309
29,Rajasthan,41731545,18023301,59754846
30,Sikkim,520259,421181,941440
31,Tamil Nadu,38793353,13799266,52592619
32,Telangana,20509341,7965959,28475300
33,Tripura,2501052,1494070,3995122
34,Uttarakhand,7428047,3429541,10857588
35,Uttar Pradesh,92237989,25483124,117721113
36,West Bengal,47439743,18134733,65574476
37,Miscellaneous,1903104,1562154,3465258
