ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,247534,103030,350564
2,Andhra Pradesh,19797328,7300663,27097991
3,Arunachal Pradesh,714611,217783,932394
4,Assam,13360859,2879165,16240024
5,Bihar,28156188,5570320,33726508
6,Chandigarh,784984,284352,1069336
7,Chhattisgarh,10504132,3088462,13592594
8,Dadra and Nagar Haveli and Daman and Diu,611227,121517,732744
9,Delhi,9112787,3606507,12719294
10,Goa,1148528,380937,1529465
11,Gujarat,33117306,10890762,44008068
12,Haryana,11473920,3687734,15161654
13,Himachal Pradesh,5356000,1673863,7029863
14,Jammu and Kashmir,5930710,1732691,7663401
15,Jharkhand,9713149,2425027,12138176
16,Karnataka,29293552,9156983,38450535
17,Kerala,19852729,7160242,27012971
18,Ladakh,191651,87924,279575
19,Lakshadweep,52229,20715,72944
20,Madhya Pradesh,35489380,7148583,42637963
21,Maharashtra,40270837,14594471,54865308
22,Manipur,1186693,313345,1500038
23,Meghalaya,1011377,293957,1305334
24,Mizoram,668137,230835,898972
25,Nagaland,650207,189789,839996
26,Odisha,16055088,5022415,21077503
27,Puducherry,630266,172739,803005
28,Punjab,9817886,3027458,12845344
29,Rajasthan,31160170,9972383,41132553
30,Sikkim,504634,165706,670340
31,Tamil Nadu,24033337,5757196,29790533
32,Telangana,12810399,4373019,17183418
33,Tripura,2451748,864002,3315750
34,Uttarakhand,6074762,1909954,7984716
35,Uttar Pradesh,55594890,10487559,66082449
36,West Bengal,27150037,10499392,37649429
37,Miscellaneous,1901587,1554136,3455723
