ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,203975,90223,294198
2,Andhra Pradesh,15906353,5267794,21174147
3,Arunachal Pradesh,666567,170252,836819
4,Assam,8561411,1888652,10450063
5,Bihar,19912638,3752836,23665474
6,Chandigarh,603124,186231,789355
7,Chhattisgarh,9435658,2284932,11720590
8,Dadra and Nagar Haveli and Daman and Diu,546223,73618,619841
9,Delhi,7350096,2559680,9909776
10,Goa,1040080,264503,1304583
11,Gujarat,24873866,7762506,32636372
12,Haryana,9129894,2398465,11528359
13,Himachal Pradesh,3863935,1232645,5096580
14,Jammu and Kashmir,4844632,1261012,6105644
15,Jharkhand,7614875,1754306,9369181
16,Karnataka,23430814,6295325,29726139
17,Kerala,13465992,5805422,19271414
18,Ladakh,186751,66106,252857
19,Lakshadweep,50094,15613,65707
20,Madhya Pradesh,25909051,5001877,30910928
21,Maharashtra,32394275,10688664,43082939
22,Manipur,1088643,193741,1282384
23,Meghalaya,873728,189469,1063197
24,Mizoram,636054,191759,827813
25,Nagaland,611482,147091,758573
26,Odisha,12332766,3831467,16164233
27,Puducherry,561130,143376,704506
28,Punjab,7624457,1883270,9507727
29,Rajasthan,24540697,7210339,31751036
30,Sikkim,488841,146948,635789
31,Tamil Nadu,18311781,4016258,22328039
32,Telangana,11176337,3280505,14456842
33,Tripura,2326235,776570,3102805
34,Uttarakhand,4346685,1396549,5743234
35,Uttar Pradesh,39185216,7595764,46780980
36,West Bengal,20302311,8524617,28826928
37,Miscellaneous,1744072,1544630,3288702
