ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,287854,144530,432384
2,Andhra Pradesh,26157271,12660529,38817800
3,Arunachal Pradesh,748706,366774,1115480
4,Assam,17928465,5032915,22961380
5,Bihar,42108173,9983216,52091389
6,Chandigarh,885927,415722,1301649
7,Chhattisgarh,12613660,4770505,17384165
8,Dadra and Nagar Haveli and Daman and Diu,639888,240933,880821
9,Delhi,11586343,5190550,16776893
10,Goa,1209915,615835,1825750
11,Gujarat,40742081,17628651,58370732
12,Haryana,15992934,5796379,21789313
13,Himachal Pradesh,5636538,2475473,8112011
14,Jammu and Kashmir,7441156,3116463,10557619
15,Jharkhand,13049217,3756187,16805404
16,Karnataka,38271800,15677221,53949021
17,Kerala,24341295,10331760,34673055
18,Ladakh,202848,132008,334856
19,Lakshadweep,54576,39315,93891
20,Madhya Pradesh,46362905,13518826,59881731
21,Maharashtra,54812576,22108614,76921190
22,Manipur,1217411,434132,1651543
23,Meghalaya,1063908,431973,1495881
24,Mizoram,690706,402479,1093185
25,Nagaland,679956,326310,1006266
26,Odisha,21272105,7832873,29104978
27,Puducherry,682803,277135,959938
28,Punjab,13876483,4632092,18508575
29,Rajasthan,39544905,14512093,54056998
30,Sikkim,516318,351985,868303
31,Tamil Nadu,34118728,9580398,43699126
32,Telangana,17185597,6443755,23629352
33,Tripura,2489252,1271721,3760973
34,Uttarakhand,7294328,2923712,10218040
35,Uttar Pradesh,80885097,17998110,98883207
36,West Bengal,38407873,15635624,54043497
37,Miscellaneous,1902795,1558835,3461630
