ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,254459,104851,359310
2,Andhra Pradesh,20884776,8054513,28939289
3,Arunachal Pradesh,721074,232059,953133
4,Assam,14069853,3041679,17111532
5,Bihar,29545525,5908592,35454117
6,Chandigarh,799733,302728,1102461
7,Chhattisgarh,10696986,3220923,13917909
8,Dadra and Nagar Haveli and Daman and Diu,615190,135647,750837
9,Delhi,9452898,3775941,13228839
10,Goa,1160765,406565,1567330
11,Gujarat,34146871,11361112,45507983
12,Haryana,12127047,4064907,16191954
13,Himachal Pradesh,5466716,1730543,7197259
14,Jammu and Kashmir,6096360,1793209,7889569
15,Jharkhand,10067659,2537251,12604910
16,Karnataka,31045670,10001488,41047158
17,Kerala,20645882,7506612,28152494
18,Ladakh,192771,96671,289442
19,Lakshadweep,52501,23147,75648
20,Madhya Pradesh,37583351,7944624,45527975
21,Maharashtra,41731841,15434981,57166822
22,Manipur,1191378,328652,1520030
23,Meghalaya,1020349,303816,1324165
24,Mizoram,669582,234012,903594
25,Nagaland,652658,194931,847589
26,Odisha,16528398,5265747,21794145
27,Puducherry,635720,180846,816566
28,Punjab,10174312,3170375,13344687
29,Rajasthan,33088445,10624827,43713272
30,Sikkim,505665,166751,672416
31,Tamil Nadu,25320506,6281760,31602266
32,Telangana,13170051,4537430,17707481
33,Tripura,2458222,878522,3336744
34,Uttarakhand,6385413,1997908,8383321
35,Uttar Pradesh,59147931,11333234,70481165
36,West Bengal,28297952,11143625,39441577
37,Miscellaneous,1901778,1554591,3456369
