ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,163284,45356,208640
2,Andhra Pradesh,13347424,3368492,16715916
3,Arunachal Pradesh,574763,104981,679744
4,Assam,6409358,1320968,7730326
5,Bihar,15484440,2584950,18069390
6,Chandigarh,479535,107119,586654
7,Chhattisgarh,8386931,1803979,10190910
8,Dadra and Nagar Haveli and Daman and Diu,450924,56128,507052
9,Delhi,6666304,2013480,8679784
10,Goa,896123,151365,1047488
11,Gujarat,21190130,6157088,27347218
12,Haryana,7991029,1667304,9658333
13,Himachal Pradesh,3414094,806114,4220208
14,Jammu and Kashmir,4254750,810355,5065105
15,Jharkhand,6301724,1248099,7549823
16,Karnataka,20494925,4447263,24942188
17,Kerala,11393121,3828293,15221414
18,Ladakh,179174,60415,239589
19,Lakshadweep,47717,10127,57844
20,Madhya Pradesh,19543269,3669210,23212479
21,Maharashtra,28250377,7522771,35773148
22,Manipur,758845,82292,841137
23,Meghalaya,696290,93824,790114
24,Mizoram,572405,77211,649616
25,Nagaland,492727,82677,575404
26,Odisha,10623963,2652090,13276053
27,Puducherry,470845,95606,566451
28,Punjab,6792574,1323363,8115937
29,Rajasthan,21575229,4547860,26123089
30,Sikkim,436734,110041,546775
31,Tamil Nadu,14363683,2879848,17243531
32,Telangana,10249542,1856644,12106186
33,Tripura,2031660,631163,2662823
34,Uttarakhand,3865593,970930,4836523
35,Uttar Pradesh,30540558,5532965,36073523
36,West Bengal,17550459,6062514,23612973
37,Miscellaneous,1738410,1529424,3267834
