ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,273062,115236,388298
2,Andhra Pradesh,24330101,10854556,35184657
3,Arunachal Pradesh,740051,296982,1037033
4,Assam,16648201,3793647,20441848
5,Bihar,37614958,8063468,45678426
6,Chandigarh,854773,364997,1219770
7,Chhattisgarh,11478822,3756568,15235390
8,Dadra and Nagar Haveli and Daman and Diu,628058,185272,813330
9,Delhi,10741515,4446113,15187628
10,Goa,1186557,492385,1678942
11,Gujarat,38326690,14263508,52590198
12,Haryana,13922478,4925147,18847625
13,Himachal Pradesh,5585654,1967281,7552935
14,Jammu and Kashmir,6905328,2550897,9456225
15,Jharkhand,12005473,3213388,15218861
16,Karnataka,35402071,12495692,47897763
17,Kerala,22804282,9028981,31833263
18,Ladakh,198198,121484,319682
19,Lakshadweep,53893,33950,87843
20,Madhya Pradesh,42043803,9943682,51987485
21,Maharashtra,49580776,18790591,68371367
22,Manipur,1208708,392902,1601610
23,Meghalaya,1048472,367630,1416102
24,Mizoram,679460,306546,986006
25,Nagaland,669449,263754,933203
26,Odisha,19319487,6415894,25735381
27,Puducherry,659286,221827,881113
28,Punjab,12459587,3975139,16434726
29,Rajasthan,37448753,12755973,50204726
30,Sikkim,511851,249158,761009
31,Tamil Nadu,31579196,8126861,39706057
32,Telangana,14362800,5408870,19771670
33,Tripura,2474866,994835,3469701
34,Uttarakhand,7041342,2393882,9435224
35,Uttar Pradesh,73669266,14969809,88639075
36,West Bengal,34151525,13623203,47774728
37,Miscellaneous,1902449,1556975,3459424
