ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,292321,174797,467118
2,Andhra Pradesh,30022920,16635685,46658605
3,Arunachal Pradesh,765307,485110,1250417
4,Assam,19712949,6558044,26270993
5,Bihar,47277258,14269924,61547182
6,Chandigarh,918209,503781,1421990
7,Chhattisgarh,13797738,6224047,20021785
8,Dadra and Nagar Haveli and Daman and Diu,654800,335427,990227
9,Delhi,12725811,6830497,19556308
10,Goa,1246926,817390,2064316
11,Gujarat,43959220,22776438,66735658
12,Haryana,17392840,7271925,24664765
13,Himachal Pradesh,5689038,3043508,8732546
14,Jammu and Kashmir,9389776,4289607,13679383
15,Jharkhand,14380093,4717877,19097970
16,Karnataka,40790960,20059317,60850277
17,Kerala,25077135,12160553,37237688
18,Ladakh,207615,147080,354695
19,Lakshadweep,55037,44723,99760
20,Madhya Pradesh,49111722,16961261,66072983
21,Maharashtra,63193785,28111580,91305365
22,Manipur,1236156,591429,1827585
23,Meghalaya,1088073,556573,1644646
24,Mizoram,704939,489188,1194127
25,Nagaland,699773,435459,1135232
26,Odisha,24162659,9916976,34079635
27,Puducherry,719483,363804,1083287
28,Punjab,15447005,5742528,21189533
29,Rajasthan,41904936,18382312,60287248
30,Sikkim,520272,421510,941782
31,Tamil Nadu,38902099,13968886,52870985
32,Telangana,20514754,7972499,28487253
33,Tripura,2501320,1497350,3998670
34,Uttarakhand,7432013,3460909,10892922
35,Uttar Pradesh,92365203,25825941,118191144
36,West Bengal,47970652,18249250,66219902
37,Miscellaneous,1903123,1562435,3465558
