ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,298414,282976,581390
2,Andhra Pradesh,38239078,27080337,65319415
3,Arunachal Pradesh,801492,635806,1437298
4,Assam,21627581,14062218,35689799
5,Bihar,56275895,35083161,91359056
6,Chandigarh,956278,683848,1640126
7,Chhattisgarh,17326801,10980254,28307055
8,Dadra and Nagar Haveli and Daman and Diu,687934,482974,1170908
9,Delhi,14556889,9947992,24504881
10,Goa,1294367,1072600,2366967
11,Gujarat,46432113,39786998,86219111
12,Haryana,19018044,11672957,30691001
13,Himachal Pradesh,5849371,5450040,11299411
14,Jammu and Kashmir,9648944,7757897,17406841
15,Jharkhand,17463476,9468209,26931685
16,Karnataka,46839617,34743471,81583088
17,Kerala,25927310,19293294,45220604
18,Ladakh,213124,174234,387358
19,Lakshadweep,55527,50961,106488
20,Madhya Pradesh,51736940,43829166,95566106
21,Maharashtra,78305255,47614733,125919988
22,Manipur,1306925,946138,2253063
23,Meghalaya,1213712,863334,2077046
24,Mizoram,742195,577852,1320047
25,Nagaland,754465,567937,1322402
26,Odisha,28514908,18140171,46655079
27,Puducherry,812377,521966,1334343
28,Punjab,16874376,8620529,25494905
29,Rajasthan,44952767,30550720,75503487
30,Sikkim,524281,478558,1002839
31,Tamil Nadu,47981826,29543751,77525577
32,Telangana,26938093,15329346,42267439
33,Tripura,2563734,2090282,4654016
34,Uttarakhand,7686282,5771021,13457303
35,Uttar Pradesh,120260576,61298712,181559288
36,West Bengal,64187408,34406249,98593657
37,Miscellaneous,2237773,1570146,3807919
