ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,115686,15348,131034
2,Andhra Pradesh,9231093,2619733,11850826
3,Arunachal Pradesh,331398,79029,410427
4,Assam,3837392,917265,4754657
5,Bihar,10020239,1906380,11926619
6,Chandigarh,325378,75717,401095
7,Chhattisgarh,6048340,1157096,7205436
8,Dadra and Nagar Haveli and Daman and Diu,240221,26343,266564
9,Delhi,4633790,1440397,6074187
10,Goa,523488,97839,621327
11,Gujarat,15492980,4545438,20038418
12,Haryana,5673819,1061823,6735642
13,Himachal Pradesh,2151461,435972,2587433
14,Jammu and Kashmir,3064681,582241,3646922
15,Jharkhand,4205847,785402,4991249
16,Karnataka,13846875,3005323,16852198
17,Kerala,8928702,2236193,11164895
18,Ladakh,153676,37375,191051
19,Lakshadweep,39097,7063,46160
20,Madhya Pradesh,11944203,1941120,13885323
21,Maharashtra,20646972,5170756,25817728
22,Manipur,465952,71428,537380
23,Meghalaya,426960,74687,501647
24,Mizoram,291725,52319,344044
25,Nagaland,280485,52321,332806
26,Odisha,7336124,1629715,8965839
27,Puducherry,271500,52818,324318
28,Punjab,4792448,817006,5609454
29,Rajasthan,16255404,3333728,19589132
30,Sikkim,213666,59794,273460
31,Tamil Nadu,8486924,2142315,10629239
32,Telangana,6463957,1341443,7805400
33,Tripura,1146919,512535,1659454
34,Uttarakhand,2589789,694797,3284586
35,Uttar Pradesh,19141183,3794632,22935815
36,West Bengal,13546001,4037759,17583760
37,Miscellaneous,1729086,1490437,3219523
