ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,290554,159221,449775
2,Andhra Pradesh,28327650,14494938,42822588
3,Arunachal Pradesh,759539,442750,1202289
4,Assam,19034206,6070672,25104878
5,Bihar,45878825,12817203,58696028
6,Chandigarh,908493,469684,1378177
7,Chhattisgarh,13339960,5585409,18925369
8,Dadra and Nagar Haveli and Daman and Diu,649205,299745,948950
9,Delhi,12337877,6209956,18547833
10,Goa,1234383,745304,1979687
11,Gujarat,42612382,19943416,62555798
12,Haryana,16948796,6672101,23620897
13,Himachal Pradesh,5671739,2844679,8516418
14,Jammu and Kashmir,8463351,3796583,12259934
15,Jharkhand,13963411,4375270,18338681
16,Karnataka,39606866,17813598,57420464
17,Kerala,24825093,11381066,36206159
18,Ladakh,206089,140548,346637
19,Lakshadweep,54919,42660,97579
20,Madhya Pradesh,48775167,15664772,64439939
21,Maharashtra,59148680,25499623,84648303
22,Manipur,1228110,511788,1739898
23,Meghalaya,1076051,496945,1572996
24,Mizoram,699126,454324,1153450
25,Nagaland,691088,388641,1079729
26,Odisha,22932463,9039027,31971490
27,Puducherry,708207,332023,1040230
28,Punjab,14824061,5263921,20087982
29,Rajasthan,40794830,16204033,56998863
30,Sikkim,519029,400772,919801
31,Tamil Nadu,37286475,12267323,49553798
32,Telangana,19531253,7430992,26962245
33,Tripura,2498591,1451300,3949891
34,Uttarakhand,7390450,3250883,10641333
35,Uttar Pradesh,89047649,22686604,111734253
36,West Bengal,43078909,17310807,60389716
37,Miscellaneous,1903002,1560345,3463347
