ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,159342,25173,184515
2,Andhra Pradesh,13188396,3271472,16459868
3,Arunachal Pradesh,538852,90277,629129
4,Assam,6330124,1299534,7629658
5,Bihar,14837000,2420710,17257710
6,Chandigarh,461440,96710,558150
7,Chhattisgarh,8240838,1713403,9954241
8,Dadra and Nagar Haveli and Daman and Diu,422020,48412,470432
9,Delhi,6472151,1910688,8382839
10,Goa,859902,130578,990480
11,Gujarat,20835697,5980271,26815968
12,Haryana,7840075,1569705,9409780
13,Himachal Pradesh,3378319,607686,3986005
14,Jammu and Kashmir,4052689,754724,4807413
15,Jharkhand,6054011,1147181,7201192
16,Karnataka,19704272,4086710,23790982
17,Kerala,11179952,3610500,14790452
18,Ladakh,174447,58348,232795
19,Lakshadweep,47084,8590,55674
20,Madhya Pradesh,18783421,2819017,21602438
21,Maharashtra,27181412,6894863,34076275
22,Manipur,653419,75922,729341
23,Meghalaya,650477,83879,734356
24,Mizoram,540706,59673,600379
25,Nagaland,461490,65429,526919
26,Odisha,10017262,2220081,12237343
27,Puducherry,455714,73723,529437
28,Punjab,6607383,1217548,7824931
29,Rajasthan,21402124,4367709,25769833
30,Sikkim,416397,85183,501580
31,Tamil Nadu,14015593,2732378,16747971
32,Telangana,9945428,1702925,11648353
33,Tripura,2000452,615117,2615569
34,Uttarakhand,3710393,878599,4588992
35,Uttar Pradesh,27802597,4826538,32629135
36,West Bengal,17165994,5494551,22660545
37,Miscellaneous,1736809,1524557,3261366
