ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,289999,154348,444347
2,Andhra Pradesh,28049239,14231504,42280743
3,Arunachal Pradesh,757188,427467,1184655
4,Assam,18896120,5937257,24833377
5,Bihar,45220954,12334898,57555852
6,Chandigarh,905179,460694,1365873
7,Chhattisgarh,13159176,5384594,18543770
8,Dadra and Nagar Haveli and Daman and Diu,647029,285955,932984
9,Delhi,12206308,6015062,18221370
10,Goa,1230959,726577,1957536
11,Gujarat,42217531,19230911,61448442
12,Haryana,16840564,6559654,23400218
13,Himachal Pradesh,5666290,2782031,8448321
14,Jammu and Kashmir,8228957,3683377,11912334
15,Jharkhand,13814091,4263988,18078079
16,Karnataka,39438904,17503009,56941913
17,Kerala,24750569,11126705,35877274
18,Ladakh,205555,138763,344318
19,Lakshadweep,54846,42262,97108
20,Madhya Pradesh,48623289,15352444,63975733
21,Maharashtra,58617761,25034464,83652225
22,Manipur,1226051,494146,1720197
23,Meghalaya,1073366,481118,1554484
24,Mizoram,697797,446502,1144299
25,Nagaland,688641,376524,1065165
26,Odisha,22492683,8753344,31246027
27,Puducherry,705319,324756,1030075
28,Punjab,14560388,5065860,19626248
29,Rajasthan,40671385,15996107,56667492
30,Sikkim,518698,394808,913506
31,Tamil Nadu,37076731,12066795,49143526
32,Telangana,19142355,7248860,26391215
33,Tripura,2496558,1411377,3907935
34,Uttarakhand,7375336,3196381,10571717
35,Uttar Pradesh,87526234,21664277,109190511
36,West Bengal,41840108,16960925,58801033
37,Miscellaneous,1902970,1559989,3462959
