ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,293776,197310,491086
2,Andhra Pradesh,32641518,19771115,52412633
3,Arunachal Pradesh,770904,528279,1299183
4,Assam,20057641,7762292,27819933
5,Bihar,49507976,17800854,67308830
6,Chandigarh,924720,538652,1463372
7,Chhattisgarh,14723085,7142240,21865325
8,Dadra and Nagar Haveli and Daman and Diu,660248,367194,1027442
9,Delhi,12992118,7326725,20318843
10,Goa,1258057,887750,2145807
11,Gujarat,44623721,25289036,69912757
12,Haryana,17717326,7988497,25705823
13,Himachal Pradesh,5708905,3359459,9068364
14,Jammu and Kashmir,9501078,4980506,14481584
15,Jharkhand,14856573,5418676,20275249
16,Karnataka,42302787,22482370,64785157
17,Kerala,25262935,13365469,38628404
18,Ladakh,208676,151829,360505
19,Lakshadweep,55081,45666,100747
20,Madhya Pradesh,49853330,20002551,69855881
21,Maharashtra,66658668,30551280,97209948
22,Manipur,1246400,691682,1938082
23,Meghalaya,1100763,630363,1731126
24,Mizoram,710897,510042,1220939
25,Nagaland,708314,484647,1192961
26,Odisha,25497527,11237319,36734846
27,Puducherry,732505,399979,1132484
28,Punjab,15886367,6169936,22056303
29,Rajasthan,42434148,19713672,62147820
30,Sikkim,521508,447665,969173
31,Tamil Nadu,40759678,16548903,57308581
32,Telangana,22027473,9405409,31432882
33,Tripura,2507478,1602805,4110283
34,Uttarakhand,7469135,3798438,11267573
35,Uttar Pradesh,97502689,31713867,129216556
36,West Bengal,54524323,20878857,75403180
37,Miscellaneous,2237414,1563890,3801304
