ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,293904,198731,492635
2,Andhra Pradesh,32814038,20072881,52886919
3,Arunachal Pradesh,771430,531959,1303389
4,Assam,20106832,7902711,28009543
5,Bihar,49637936,18014002,67651938
6,Chandigarh,925246,541908,1467154
7,Chhattisgarh,14777967,7226577,22004544
8,Dadra and Nagar Haveli and Daman and Diu,660648,369465,1030113
9,Delhi,13013583,7364070,20377653
10,Goa,1258903,892242,2151145
11,Gujarat,44673748,25591720,70265468
12,Haryana,17743678,8052991,25796669
13,Himachal Pradesh,5711374,3401299,9112673
14,Jammu and Kashmir,9505385,5039761,14545146
15,Jharkhand,14903440,5480472,20383912
16,Karnataka,42408235,22680416,65088651
17,Kerala,25281051,13499908,38780959
18,Ladakh,208752,152006,360758
19,Lakshadweep,55086,45832,100918
20,Madhya Pradesh,49869109,20209648,70078757
21,Maharashtra,66908849,30750033,97658882
22,Manipur,1247600,702685,1950285
23,Meghalaya,1102153,637212,1739365
24,Mizoram,711341,511799,1223140
25,Nagaland,709066,488677,1197743
26,Odisha,25614153,11391448,37005601
27,Puducherry,733096,401638,1134734
28,Punjab,15907330,6194617,22101947
29,Rajasthan,42489785,19902398,62392183
30,Sikkim,521708,450711,972419
31,Tamil Nadu,40797604,16634426,57432030
32,Telangana,22243359,9580708,31824067
33,Tripura,2508070,1613685,4121755
34,Uttarakhand,7473342,3844544,11317886
35,Uttar Pradesh,97888816,32239878,130128694
36,West Bengal,55226050,21196433,76422483
37,Miscellaneous,2237436,1564383,3801819
