ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,251619,104010,355629
2,Andhra Pradesh,20166963,7630986,27797949
3,Arunachal Pradesh,718289,225272,943561
4,Assam,13776584,2974963,16751547
5,Bihar,29078696,5781642,34860338
6,Chandigarh,793611,294231,1087842
7,Chhattisgarh,10614853,3160953,13775806
8,Dadra and Nagar Haveli and Daman and Diu,613532,128838,742370
9,Delhi,9328246,3703892,13032138
10,Goa,1154536,391811,1546347
11,Gujarat,33860052,11231359,45091411
12,Haryana,11962765,3960191,15922956
13,Himachal Pradesh,5432250,1711428,7143678
14,Jammu and Kashmir,5997062,1757260,7754322
15,Jharkhand,9884023,2476908,12360931
16,Karnataka,30368142,9660804,40028946
17,Kerala,20362841,7388807,27751648
18,Ladakh,192411,93658,286069
19,Lakshadweep,52370,21939,74309
20,Madhya Pradesh,36935919,7668669,44604588
21,Maharashtra,41236695,15095680,56332375
22,Manipur,1189275,322107,1511382
23,Meghalaya,1017942,300838,1318780
24,Mizoram,669369,233563,902932
25,Nagaland,652171,194035,846206
26,Odisha,16330087,5163044,21493131
27,Puducherry,633067,176557,809624
28,Punjab,10108925,3131238,13240163
29,Rajasthan,31981604,10251997,42233601
30,Sikkim,505405,166510,671915
31,Tamil Nadu,24728772,6045765,30774537
32,Telangana,13022500,4457070,17479570
33,Tripura,2455633,872619,3328252
34,Uttarakhand,6239680,1954548,8194228
35,Uttar Pradesh,58903342,10948748,69852090
36,West Bengal,27755795,10876093,38631888
37,Miscellaneous,1901673,1554402,3456075
