ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,112875,15276,128151
2,Andhra Pradesh,8449909,2587502,11037411
3,Arunachal Pradesh,311171,78725,389896
4,Assam,3588430,860578,4449008
5,Bihar,9349563,1868803,11218366
6,Chandigarh,309316,75305,384621
7,Chhattisgarh,6004099,1139374,7143473
8,Dadra and Nagar Haveli and Daman and Diu,209044,26144,235188
9,Delhi,4441272,1340732,5782004
10,Goa,495213,96721,591934
11,Gujarat,14560225,4362132,18922357
12,Haryana,5308737,1030504,6339241
13,Himachal Pradesh,2114235,434776,2549011
14,Jammu and Kashmir,2951221,572869,3524090
15,Jharkhand,3911567,754948,4666515
16,Karnataka,12815591,2911240,15726831
17,Kerala,8488444,2188119,10676563
18,Ladakh,144363,37332,181695
19,Lakshadweep,34567,6986,41553
20,Madhya Pradesh,11351568,1855233,13206801
21,Maharashtra,19748461,4932788,24681249
22,Manipur,440356,71104,511460
23,Meghalaya,404751,74530,479281
24,Mizoram,279876,51576,331452
25,Nagaland,249337,52134,301471
26,Odisha,7058166,1545369,8603535
27,Puducherry,247905,51965,299870
28,Punjab,4596510,803134,5399644
29,Rajasthan,14723621,3281311,18004932
30,Sikkim,180911,59734,240645
31,Tamil Nadu,8060098,2107162,10167260
32,Telangana,5704303,1316874,7021177
33,Tripura,1135563,508430,1643993
34,Uttarakhand,2428067,689460,3117527
35,Uttar Pradesh,17471652,3678606,21150258
36,West Bengal,12730150,3973884,16704034
37,Miscellaneous,1725996,1479867,3205863
