ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,110997,15198,126195
2,Andhra Pradesh,7783529,2554317,10337846
3,Arunachal Pradesh,272795,78541,351336
4,Assam,3392200,842935,4235135
5,Bihar,8762804,1820872,10583676
6,Chandigarh,291534,74991,366525
7,Chhattisgarh,5905382,1121715,7027097
8,Dadra and Nagar Haveli and Daman and Diu,185733,26014,211747
9,Delhi,4287731,1264584,5552315
10,Goa,448098,95603,543701
11,Gujarat,13427146,4232552,17659698
12,Haryana,5092260,1009333,6101593
13,Himachal Pradesh,2060033,433909,2493942
14,Jammu and Kashmir,2841054,557041,3398095
15,Jharkhand,3579293,726211,4305504
16,Karnataka,11592270,2810673,14402943
17,Kerala,7721315,2119043,9840358
18,Ladakh,134121,37300,171421
19,Lakshadweep,29382,6951,36333
20,Madhya Pradesh,10038819,1812241,11851060
21,Maharashtra,18612983,4679276,23292259
22,Manipur,401826,70711,472537
23,Meghalaya,397435,74433,471868
24,Mizoram,267025,51171,318196
25,Nagaland,227781,51998,279779
26,Odisha,6616809,1491547,8108356
27,Puducherry,227735,51443,279178
28,Punjab,4361990,784093,5146083
29,Rajasthan,14166855,3164778,17331633
30,Sikkim,179599,59697,239296
31,Tamil Nadu,7544779,2074419,9619198
32,Telangana,5026935,1286784,6313719
33,Tripura,1116702,507852,1624554
34,Uttarakhand,2276549,685595,2962144
35,Uttar Pradesh,15869421,3561731,19431152
36,West Bengal,11511500,3915428,15426928
37,Miscellaneous,1723677,1472371,3196048
