ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,162375,40529,202904
2,Andhra Pradesh,13322361,3354510,16676871
3,Arunachal Pradesh,566001,101318,667319
4,Assam,6402566,1318030,7720596
5,Bihar,15114284,2497336,17611620
6,Chandigarh,476076,104659,580735
7,Chhattisgarh,8335044,1770209,10105253
8,Dadra and Nagar Haveli and Daman and Diu,444209,54606,498815
9,Delhi,6554851,1965905,8520756
10,Goa,889028,147076,1036104
11,Gujarat,21186487,6153541,27340028
12,Haryana,7967969,1649543,9617512
13,Himachal Pradesh,3406867,766163,4173030
14,Jammu and Kashmir,4210635,794594,5005229
15,Jharkhand,6277078,1238711,7515789
16,Karnataka,20355148,4384445,24739593
17,Kerala,11356276,3764310,15120586
18,Ladakh,178128,60177,238305
19,Lakshadweep,47562,9763,57325
20,Madhya Pradesh,18988628,3498980,22487608
21,Maharashtra,28046874,7398150,35445024
22,Manipur,735374,81102,816476
23,Meghalaya,684412,90901,775313
24,Mizoram,562364,69749,632113
25,Nagaland,486470,78500,564970
26,Odisha,10542457,2589364,13131821
27,Puducherry,467857,90138,557995
28,Punjab,6778624,1312896,8091520
29,Rajasthan,21492802,4444967,25937769
30,Sikkim,433003,104480,537483
31,Tamil Nadu,14280590,2814007,17094597
32,Telangana,10182863,1810039,11992902
33,Tripura,2022226,626396,2648622
34,Uttarakhand,3843931,957668,4801599
35,Uttar Pradesh,29896371,5375629,35272000
36,West Bengal,17454774,5912029,23366803
37,Miscellaneous,1737305,1527259,3264564
