ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,209696,91562,301258
2,Andhra Pradesh,16286343,5574356,21860699
3,Arunachal Pradesh,671928,174567,846495
4,Assam,8753397,1929881,10683278
5,Bihar,20664109,3893299,24557408
6,Chandigarh,642828,195378,838206
7,Chhattisgarh,9634947,2346318,11981265
8,Dadra and Nagar Haveli and Daman and Diu,556625,74817,631442
9,Delhi,7426572,2667257,10093829
10,Goa,1058023,272602,1330625
11,Gujarat,25450906,7942122,33393028
12,Haryana,9360154,2509706,11869860
13,Himachal Pradesh,3968620,1273524,5242144
14,Jammu and Kashmir,4953348,1310156,6263504
15,Jharkhand,7829987,1814073,9644060
16,Karnataka,23996153,6535671,30531824
17,Kerala,14160510,6059874,20220384
18,Ladakh,187393,67654,255047
19,Lakshadweep,50400,15984,66384
20,Madhya Pradesh,27007725,5172668,32180393
21,Maharashtra,33381464,11201257,44582721
22,Manipur,1112096,205543,1317639
23,Meghalaya,890842,198439,1089281
24,Mizoram,643821,196953,840774
25,Nagaland,617214,149233,766447
26,Odisha,12706320,3916566,16622886
27,Puducherry,574172,145528,719700
28,Punjab,7738387,1965727,9704114
29,Rajasthan,25250384,7499341,32749725
30,Sikkim,491205,148120,639325
31,Tamil Nadu,18965422,4211196,23176618
32,Telangana,11344451,3488581,14833032
33,Tripura,2375328,785291,3160619
34,Uttarakhand,4497424,1436698,5934122
35,Uttar Pradesh,40631196,7792225,48423421
36,West Bengal,20972394,8685073,29657467
37,Miscellaneous,1744376,1545196,3289572
