ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,297752,271107,568859
2,Andhra Pradesh,36713575,26126248,62839823
3,Arunachal Pradesh,798773,625200,1423973
4,Assam,21548147,13054648,34602795
5,Bihar,55587464,31823404,87410868
6,Chandigarh,950404,663094,1613498
7,Chhattisgarh,16954286,10276049,27230335
8,Dadra and Nagar Haveli and Daman and Diu,680757,458206,1138963
9,Delhi,14270734,9467718,23738452
10,Goa,1289916,1055413,2345329
11,Gujarat,46154135,37734807,83888942
12,Haryana,18844634,10921428,29766062
13,Himachal Pradesh,5842591,5414807,11257398
14,Jammu and Kashmir,9630029,7477129,17107158
15,Jharkhand,17062447,8706234,25768681
16,Karnataka,46167790,32890755,79058545
17,Kerala,25825242,18400915,44226157
18,Ladakh,212640,173267,385907
19,Lakshadweep,55490,50493,105983
20,Madhya Pradesh,51526945,40861125,92388070
21,Maharashtra,76852122,44273440,121125562
22,Manipur,1296011,918261,2214272
23,Meghalaya,1184535,838319,2022854
24,Mizoram,738536,568949,1307485
25,Nagaland,747435,558368,1305803
26,Odisha,28243421,17051835,45295256
27,Puducherry,795018,503646,1298664
28,Punjab,16722056,8106778,24828834
29,Rajasthan,44308656,28190993,72499649
30,Sikkim,523805,474600,998405
31,Tamil Nadu,46899870,27495554,74395424
32,Telangana,26081046,13889345,39970391
33,Tripura,2559721,2063506,4623227
34,Uttarakhand,7650332,5534204,13184536
35,Uttar Pradesh,116328690,55914649,172243339
36,West Bengal,63906621,32038579,95945200
37,Miscellaneous,2237729,1569858,3807587
