ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,109084,15181,124265
2,Andhra Pradesh,7350968,2512379,9863347
3,Arunachal Pradesh,255589,78329,333918
4,Assam,3304145,833156,4137301
5,Bihar,8514462,1791507,10305969
6,Chandigarh,274422,74901,349323
7,Chhattisgarh,5892189,1105870,6998059
8,Dadra and Nagar Haveli and Daman and Diu,170055,25974,196029
9,Delhi,4185072,1224334,5409406
10,Goa,433834,95100,528934
11,Gujarat,12958838,4144949,17103787
12,Haryana,4891726,995845,5887571
13,Himachal Pradesh,2022506,433621,2456127
14,Jammu and Kashmir,2754337,546074,3300411
15,Jharkhand,3483409,710024,4193433
16,Karnataka,10924013,2753565,13677578
17,Kerala,7334216,2068520,9402736
18,Ladakh,122247,37290,159537
19,Lakshadweep,26727,6946,33673
20,Madhya Pradesh,9375056,1792248,11167304
21,Maharashtra,18005790,4569691,22575481
22,Manipur,387473,70445,457918
23,Meghalaya,391357,74340,465697
24,Mizoram,264123,51117,315240
25,Nagaland,216970,51942,268912
26,Odisha,6378928,1477093,7856021
27,Puducherry,217963,51214,269177
28,Punjab,4274207,770462,5044669
29,Rajasthan,13897166,3116184,17013350
30,Sikkim,179263,59661,238924
31,Tamil Nadu,7061570,2032685,9094255
32,Telangana,4796912,1261921,6058833
33,Tripura,1103052,507671,1610723
34,Uttarakhand,2234626,683922,2918548
35,Uttar Pradesh,14851890,3480426,18332316
36,West Bengal,10834957,3879574,14714531
37,Miscellaneous,1721024,1462311,3183335
