ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,238192,99659,337851
2,Andhra Pradesh,19265167,6833681,26098848
3,Arunachal Pradesh,708608,209946,918554
4,Assam,12668471,2687233,15355704
5,Bihar,26945537,5254012,32199549
6,Chandigarh,768189,268210,1036399
7,Chhattisgarh,10400399,2993968,13394367
8,Dadra and Nagar Haveli and Daman and Diu,606155,105036,711191
9,Delhi,8778224,3460511,12238735
10,Goa,1131666,355705,1487371
11,Gujarat,31991025,10333086,42324111
12,Haryana,11079649,3482429,14562078
13,Himachal Pradesh,5215365,1600633,6815998
14,Jammu and Kashmir,5735458,1649882,7385340
15,Jharkhand,9242886,2287166,11530052
16,Karnataka,27892769,8387393,36280162
17,Kerala,18853752,6859519,25713271
18,Ladakh,190179,75603,265782
19,Lakshadweep,51953,19104,71057
20,Madhya Pradesh,33201741,6486540,39688281
21,Maharashtra,38228399,13675638,51904037
22,Manipur,1181171,292546,1473717
23,Meghalaya,995171,278467,1273638
24,Mizoram,665666,225827,891493
25,Nagaland,645828,179716,825544
26,Odisha,15634113,4794146,20428259
27,Puducherry,623835,164032,787867
28,Punjab,9250044,2807869,12057913
29,Rajasthan,29817145,9489481,39306626
30,Sikkim,503326,164078,667404
31,Tamil Nadu,22819618,5215511,28035129
32,Telangana,12497174,4269682,16766856
33,Tripura,2444101,842471,3286572
34,Uttarakhand,5830322,1826284,7656606
35,Uttar Pradesh,53315030,9834701,63149731
36,West Bengal,25986028,9751734,35737762
37,Miscellaneous,1901106,1552389,3453495
