ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,297612,268810,566422
2,Andhra Pradesh,36430476,25939239,62369715
3,Arunachal Pradesh,798186,622647,1420833
4,Assam,21533446,12967942,34501388
5,Bihar,55502852,31471131,86973983
6,Chandigarh,949484,660179,1609663
7,Chhattisgarh,16865421,10158040,27023461
8,Dadra and Nagar Haveli and Daman and Diu,679301,454868,1134169
9,Delhi,14220141,9390679,23610820
10,Goa,1289060,1052743,2341803
11,Gujarat,46110619,37445179,83555798
12,Haryana,18815284,10813340,29628624
13,Himachal Pradesh,5841235,5408219,11249454
14,Jammu and Kashmir,9626031,7424231,17050262
15,Jharkhand,16998384,8588388,25586772
16,Karnataka,45949415,32275114,78224529
17,Kerala,25810690,18304009,44114699
18,Ladakh,212539,172994,385533
19,Lakshadweep,55484,50362,105846
20,Madhya Pradesh,51444204,39617847,91062051
21,Maharashtra,76571467,43746075,120317542
22,Manipur,1294106,913172,2207278
23,Meghalaya,1181714,834776,2016490
24,Mizoram,737950,567160,1305110
25,Nagaland,746358,556765,1303123
26,Odisha,28194859,16858323,45053182
27,Puducherry,791659,500680,1292339
28,Punjab,16714157,8087880,24802037
29,Rajasthan,44201914,27770738,71972652
30,Sikkim,523742,474106,997848
31,Tamil Nadu,46787636,27327616,74115252
32,Telangana,25915803,13744831,39660634
33,Tripura,2559115,2058533,4617648
34,Uttarakhand,7642990,5485183,13128173
35,Uttar Pradesh,115711995,55021327,170733322
36,West Bengal,63843941,31729992,95573933
37,Miscellaneous,2237729,1569858,3807587
