ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,267126,112124,379250
2,Andhra Pradesh,22795641,9498592,32294233
3,Arunachal Pradesh,736768,277565,1014333
4,Assam,15987775,3560902,19548677
5,Bihar,35689374,7429941,43119315
6,Chandigarh,841936,345132,1187068
7,Chhattisgarh,11257830,3610581,14868411
8,Dadra and Nagar Haveli and Daman and Diu,625825,174558,800383
9,Delhi,10463136,4275970,14739106
10,Goa,1183247,478432,1661679
11,Gujarat,37704430,13735338,51439768
12,Haryana,13245533,4624983,17870516
13,Himachal Pradesh,5568613,1882314,7450927
14,Jammu and Kashmir,6689231,2254308,8943539
15,Jharkhand,11528949,3005470,14534419
16,Karnataka,35031340,12059283,47090623
17,Kerala,22233714,8534028,30767742
18,Ladakh,197077,117245,314322
19,Lakshadweep,53317,29583,82900
20,Madhya Pradesh,41083747,9536587,50620334
21,Maharashtra,48333216,18262678,66595894
22,Manipur,1205563,380246,1585809
23,Meghalaya,1042841,344028,1386869
24,Mizoram,677321,286213,963534
25,Nagaland,665382,244910,910292
26,Odisha,18814411,6187972,25002383
27,Puducherry,654655,208193,862848
28,Punjab,11957909,3788391,15746300
29,Rajasthan,36480293,12184364,48664657
30,Sikkim,510045,214986,725031
31,Tamil Nadu,29231306,7433396,36664702
32,Telangana,14102360,5182972,19285332
33,Tripura,2469706,927404,3397110
34,Uttarakhand,6915203,2281574,9196777
35,Uttar Pradesh,70826725,13893983,84720708
36,West Bengal,32869253,13020751,45890004
37,Miscellaneous,1902322,1556469,3458791
