ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,213457,93559,307016
2,Andhra Pradesh,16890073,5933974,22824047
3,Arunachal Pradesh,683272,181201,864473
4,Assam,9771011,2081986,11852997
5,Bihar,22023303,4213307,26236610
6,Chandigarh,669284,209048,878332
7,Chhattisgarh,9809273,2490679,12299952
8,Dadra and Nagar Haveli and Daman and Diu,572246,76700,648946
9,Delhi,7630307,2841491,10471798
10,Goa,1076956,285241,1362197
11,Gujarat,26472457,8549816,35022273
12,Haryana,9794090,2755751,12549841
13,Himachal Pradesh,4115581,1334173,5449754
14,Jammu and Kashmir,5139183,1414386,6553569
15,Jharkhand,8091432,1915991,10007423
16,Karnataka,25063401,7065860,32129261
17,Kerala,15033969,6269657,21303626
18,Ladakh,188002,69038,257040
19,Lakshadweep,50668,16587,67255
20,Madhya Pradesh,28655862,5509960,34165822
21,Maharashtra,34255431,11740060,45995491
22,Manipur,1139519,226845,1366364
23,Meghalaya,920145,216854,1136999
24,Mizoram,648930,201734,850664
25,Nagaland,627189,155313,782502
26,Odisha,13410210,4081043,17491253
27,Puducherry,588669,148747,737416
28,Punjab,7931055,2101165,10032220
29,Rajasthan,26172666,8030021,34202687
30,Sikkim,495935,150285,646220
31,Tamil Nadu,20013057,4498755,24511812
32,Telangana,11485703,3752796,15238499
33,Tripura,2396762,795888,3192650
34,Uttarakhand,4842769,1527641,6370410
35,Uttar Pradesh,44606802,8242205,52849007
36,West Bengal,22407281,8971103,31378384
37,Miscellaneous,1745100,1547685,3292785
