ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,296964,258561,555525
2,Andhra Pradesh,34991943,25032907,60024850
3,Arunachal Pradesh,795139,612865,1408004
4,Assam,21209271,12160743,33370014
5,Bihar,54637126,27792850,82429976
6,Chandigarh,942626,635712,1578338
7,Chhattisgarh,16510938,9528852,26039790
8,Dadra and Nagar Haveli and Daman and Diu,675002,441006,1116008
9,Delhi,13927169,8929590,22856759
10,Goa,1283960,1035659,2319619
11,Gujarat,45867941,35657295,81525236
12,Haryana,18626972,10201184,28828156
13,Himachal Pradesh,5828587,5210018,11038605
14,Jammu and Kashmir,9605662,7094138,16699800
15,Jharkhand,16656723,7980529,24637252
16,Karnataka,45082478,30369762,75452240
17,Kerala,25697646,17430207,43127853
18,Ladakh,212072,171492,383564
19,Lakshadweep,55432,49536,104968
20,Madhya Pradesh,51220405,36931373,88151778
21,Maharashtra,74692578,40550997,115243575
22,Manipur,1284657,883549,2168206
23,Meghalaya,1168773,815196,1983969
24,Mizoram,734474,561494,1295968
25,Nagaland,739830,549641,1289471
26,Odisha,27915340,15925340,43840680
27,Puducherry,770359,478108,1248467
28,Punjab,16573776,7655387,24229163
29,Rajasthan,43601832,25256728,68858560
30,Sikkim,523297,470453,993750
31,Tamil Nadu,45554792,25182149,70736941
32,Telangana,25057174,12961816,38018990
33,Tripura,2554548,2030109,4584657
34,Uttarakhand,7594117,5147659,12741776
35,Uttar Pradesh,112840727,50971596,163812323
36,West Bengal,63372496,29744965,93117461
37,Miscellaneous,2237701,1569522,3807223
