ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,295585,231022,526607
2,Andhra Pradesh,33847761,22791369,56639130
3,Arunachal Pradesh,782742,581727,1364469
4,Assam,20619605,10218235,30837840
5,Bihar,51741345,21416849,73158194
6,Chandigarh,933260,591833,1525093
7,Chhattisgarh,15418514,8327236,23745750
8,Dadra and Nagar Haveli and Daman and Diu,667923,409191,1077114
9,Delhi,13436098,8116531,21552629
10,Goa,1273897,985932,2259829
11,Gujarat,45230250,30532766,75763016
12,Haryana,18129897,9068929,27198826
13,Himachal Pradesh,5762274,4356401,10118675
14,Jammu and Kashmir,9562982,6457784,16020766
15,Jharkhand,15812581,6681991,22494572
16,Karnataka,43453351,25852562,69305913
17,Kerala,25540893,15813595,41354488
18,Ladakh,210399,161935,372334
19,Lakshadweep,55332,48099,103431
20,Madhya Pradesh,50461867,27618883,78080750
21,Maharashtra,70132935,34665130,104798065
22,Manipur,1265969,818065,2084034
23,Meghalaya,1136351,748372,1884723
24,Mizoram,721837,540467,1262304
25,Nagaland,721111,525927,1247038
26,Odisha,27044622,13956119,41000741
27,Puducherry,743081,434123,1177204
28,Punjab,16272310,6900449,23172759
29,Rajasthan,42969079,21953925,64923004
30,Sikkim,522682,462858,985540
31,Tamil Nadu,42575991,20388280,62964271
32,Telangana,23962078,11491326,35453404
33,Tripura,2526967,1886222,4413189
34,Uttarakhand,7527428,4482556,12009984
35,Uttar Pradesh,103496141,40505004,144001145
36,West Bengal,60764615,25186806,85951421
37,Miscellaneous,2237557,1567042,3804599
