ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,261134,107514,368648
2,Andhra Pradesh,22311184,8825473,31136657
3,Arunachal Pradesh,730607,254158,984765
4,Assam,14907567,3263502,18171069
5,Bihar,32331445,6459557,38791002
6,Chandigarh,819772,320171,1139943
7,Chhattisgarh,10952560,3397718,14350278
8,Dadra and Nagar Haveli and Daman and Diu,620459,152298,772757
9,Delhi,9938147,3989233,13927380
10,Goa,1172466,437223,1609689
11,Gujarat,35910625,12407911,48318536
12,Haryana,12602757,4305975,16908732
13,Himachal Pradesh,5528720,1792813,7321533
14,Jammu and Kashmir,6397430,1916913,8314343
15,Jharkhand,10749584,2744628,13494212
16,Karnataka,33442347,10967475,44409822
17,Kerala,21564603,7978978,29543581
18,Ladakh,194853,108948,303801
19,Lakshadweep,52834,25575,78409
20,Madhya Pradesh,39331031,8670661,48001692
21,Maharashtra,44771037,16745100,61516137
22,Manipur,1198554,355902,1554456
23,Meghalaya,1032353,316816,1349169
24,Mizoram,672129,245138,917267
25,Nagaland,658225,213740,871965
26,Odisha,17563893,5728830,23292723
27,Puducherry,645991,193043,839034
28,Punjab,10904765,3425589,14330354
29,Rajasthan,34675134,11261793,45936927
30,Sikkim,507525,178714,686239
31,Tamil Nadu,27364627,6804356,34168983
32,Telangana,13624505,4799921,18424426
33,Tripura,2463855,896930,3360785
34,Uttarakhand,6665305,2111460,8776765
35,Uttar Pradesh,64651792,12341350,76993142
36,West Bengal,30744316,12044273,42788589
37,Miscellaneous,1902082,1555313,3457395
