ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,75722,7363,83085
2,Andhra Pradesh,4140857,616127,4756984
3,Arunachal Pradesh,140794,39493,180287
4,Assam,1352132,325637,1677769
5,Bihar,5100351,737776,5838127
6,Chandigarh,122192,27795,149987
7,Chhattisgarh,4517261,526449,5043710
8,Dadra and Nagar Haveli and Daman and Diu,73240,11705,84945
9,Delhi,2202789,479376,2682165
10,Goa,204861,48923,253784
11,Gujarat,9083441,1537391,10620832
12,Haryana,2805495,357518,3163013
13,Himachal Pradesh,1184947,143716,1328663
14,Jammu and Kashmir,1439629,248768,1688397
15,Jharkhand,2449355,358538,2807893
16,Karnataka,6711272,832053,7543325
17,Kerala,5299366,727439,6026805
18,Ladakh,67732,12863,80595
19,Lakshadweep,15339,3143,18482
20,Madhya Pradesh,6701986,805465,7507451
21,Maharashtra,11240723,1409543,12650266
22,Manipur,106512,51199,157711
23,Meghalaya,129154,45559,174713
24,Mizoram,131788,33045,164833
25,Nagaland,117084,31597,148681
26,Odisha,4413360,659405,5072765
27,Puducherry,153652,15020,168672
28,Punjab,2280439,227634,2508073
29,Rajasthan,9660969,1531150,11192119
30,Sikkim,143952,22657,166609
31,Tamil Nadu,4147880,666782,4814662
32,Telangana,2742190,390557,3132747
33,Tripura,780220,130126,910346
34,Uttarakhand,1366829,261362,1628191
35,Uttar Pradesh,9225108,1684657,10909765
36,West Bengal,7701573,1275170,8976743
37,Miscellaneous,1628987,1186931,2815918
