ID,state,dose_1,dose_2,total_doses
1,Andaman and Nicobar Islands,278794,119491,398285
2,Andhra Pradesh,24504047,10990391,35494438
3,Arunachal Pradesh,741944,310846,1052790
4,Assam,16831970,3912410,20744380
5,Bihar,38038723,8248028,46286751
6,Chandigarh,861602,375202,1236804
7,Chhattisgarh,11582101,3841871,15423972
8,Dadra and Nagar Haveli and Daman and Diu,629843,193566,823409
9,Delhi,10926463,4564261,15490724
10,Goa,1190188,508574,1698762
11,Gujarat,38658856,14688469,53347325
12,Haryana,14625843,5205548,19831391
13,Himachal Pradesh,5597639,2057882,7655521
14,Jammu and Kashmir,6999607,2652498,9652105
15,Jharkhand,12209563,3309414,15518977
16,Karnataka,35624096,12780026,48404122
17,Kerala,23090007,9274596,32364603
18,Ladakh,199036,124600,323636
19,Lakshadweep,54019,35414,89433
20,Madhya Pradesh,42636953,10323626,52960579
21,Maharashtra,50629841,19349683,69979524
22,Manipur,1211693,401282,1612975
23,Meghalaya,1052630,381707,1434337
24,Mizoram,681705,335688,1017393
25,Nagaland,672482,278526,951008
26,Odisha,19718123,6680093,26398216
27,Puducherry,662500,230713,893213
28,Punjab,12591082,4040209,16631291
29,Rajasthan,38043691,13172282,51215973
30,Sikkim,512997,274861,787858
31,Tamil Nadu,32206810,8385887,40592697
32,Telangana,14525908,5539982,20065890
33,Tripura,2480912,1114656,3595568
34,Uttarakhand,7094981,2477019,9572000
35,Uttar Pradesh,74813403,15365885,90179288
36,West Bengal,34564159,13967629,48531788
37,Miscellaneous,1902540,1557571,3460111
